,id,compas_screening_date,sex,dob,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_offense_date,c_arrest_date,c_days_from_compas,c_charge_degree,is_recid,r_charge_degree,r_days_from_arrest,r_offense_date,r_jail_in,r_jail_out,violent_recid,is_violent_recid,vr_charge_degree,type_of_assessment,decile_score.1,score_text,screening_date,v_type_of_assessment,v_decile_score,v_score_text,v_screening_date,in_custody,out_custody,priors_count.1,start,end,event
10,14,20131126,Male,19880601,27,25 - 45,Caucasian,0,4,0,0,0,-1.0,20131125.0,20131126.0,20131125.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,4,Low,20131126,Risk of Violence,4,Low,20131126,20131125.0,20131126.0,0,0,857,0
11,15,20131003,Male,19920818,23,Less than 25,African-American,0,6,0,0,3,0.0,20131003.0,20131007.0,20131003.0,,0.0,M,1,(M2),,20140208.0,,,,0,,Risk of Recidivism,6,Medium,20131003,Risk of Violence,4,Low,20131003,20131003.0,20131007.0,3,4,128,1
12,16,20130101,Female,19780822,37,25 - 45,Caucasian,0,1,0,0,0,0.0,20130101.0,20130102.0,20130101.0,,0.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20130101,Risk of Violence,1,Low,20130101,20130101.0,20130102.0,0,1,1186,0
13,18,20131009,Male,19741202,41,25 - 45,African-American,0,4,0,0,0,-1.0,20131008.0,20131009.0,20131008.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,4,Low,20131009,Risk of Violence,2,Low,20131009,20131008.0,20131009.0,0,0,905,0
14,19,20131030,Female,19680614,47,Greater than 45,Caucasian,0,1,0,0,1,-20.0,20131010.0,20131024.0,,20120627.0,490.0,F,1,(F3),0.0,20140603.0,20140603.0,20141119.0,,0,,Risk of Recidivism,1,Low,20131030,Risk of Violence,1,Low,20131030,20140603.0,20141119.0,1,0,216,1
15,20,20140603,Male,19850325,31,25 - 45,African-American,0,3,0,0,7,22.0,20140625.0,20140628.0,20140324.0,,71.0,F,1,(M1),0.0,20140625.0,20140625.0,20140628.0,,0,,Risk of Recidivism,3,Low,20140603,Risk of Violence,2,Low,20140603,20140625.0,20140628.0,7,0,22,1
16,21,20140324,Male,19790125,37,25 - 45,Hispanic,0,1,0,0,0,0.0,20140324.0,20140324.0,20140324.0,,0.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20140324,Risk of Violence,1,Low,20140324,20140324.0,20140324.0,0,0,739,0
17,22,20131222,Male,19900622,25,25 - 45,African-American,0,10,0,0,3,-1.0,20131221.0,20131222.0,20131221.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,10,High,20131222,Risk of Violence,9,High,20131222,20150330.0,20150531.0,3,0,463,0
18,23,20131117,Male,19841224,31,25 - 45,Caucasian,0,5,0,0,6,-1.0,20131116.0,20131117.0,20131116.0,,1.0,F,1,(F3),,20140716.0,,,,1,(F1),Risk of Recidivism,5,Medium,20131117,Risk of Violence,4,Low,20131117,20131116.0,20131117.0,6,0,241,1
19,24,20141115,Male,19850108,31,25 - 45,Caucasian,0,3,0,0,5,-1.0,20141114.0,20141115.0,20141114.0,,1.0,F,1,(F3),1.0,20150427.0,20150428.0,20150601.0,,0,,Risk of Recidivism,3,Low,20141115,Risk of Violence,2,Low,20141115,20160216.0,20160318.0,5,0,163,1
20,25,20140502,Male,19510628,64,Greater than 45,African-American,0,6,0,0,13,-1.0,20140501.0,20140502.0,,20140501.0,1.0,F,1,(F2),0.0,20140503.0,20140503.0,20140504.0,,0,,Risk of Recidivism,6,Medium,20140502,Risk of Violence,3,Low,20140502,20140503.0,20140504.0,13,0,1,1
21,26,20130418,Male,19941129,21,Less than 25,African-American,0,9,0,0,1,-1.0,20130417.0,20130420.0,20130417.0,,1.0,F,1,(M2),0.0,20130518.0,20130518.0,20130519.0,,0,,Risk of Recidivism,9,High,20130418,Risk of Violence,9,High,20130418,20130518.0,20130519.0,1,2,30,1
22,27,20141016,Male,19880806,27,25 - 45,Caucasian,0,2,0,0,0,0.0,20141016.0,20141016.0,20141016.0,,0.0,M,1,(M2),,20150105.0,,,,0,,Risk of Recidivism,2,Low,20141016,Risk of Violence,3,Low,20141016,20141016.0,20141016.0,0,0,81,1
23,28,20131122,Female,19950322,21,Less than 25,Caucasian,0,4,0,0,0,-2.0,20131120.0,20131121.0,20131120.0,,2.0,F,0,,,,,,,0,,Risk of Recidivism,4,Low,20131122,Risk of Violence,5,Medium,20131122,20131120.0,20131121.0,0,0,861,0
24,30,20130208,Male,19920123,24,Less than 25,Hispanic,0,4,0,0,1,0.0,20130208.0,20130209.0,20130207.0,,1.0,F,1,(M1),,20140326.0,,,,0,,Risk of Recidivism,4,Low,20130208,Risk of Violence,5,Medium,20130208,20130208.0,20130209.0,1,1,411,1
25,32,20130125,Male,19730110,43,25 - 45,Caucasian,0,1,0,0,1,-1.0,20130124.0,20130125.0,20130124.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20130125,Risk of Violence,2,Low,20130125,20130124.0,20130125.0,1,0,1162,0
26,33,20130511,Male,19830824,32,25 - 45,Other,0,3,0,0,0,-1.0,20130510.0,20130512.0,20130510.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,3,Low,20130511,Risk of Violence,4,Low,20130511,20130510.0,20130512.0,0,1,1056,0
27,37,20130506,Male,19890208,27,25 - 45,African-American,0,3,0,0,8,-1.0,20130505.0,20130522.0,20130505.0,,1.0,F,1,(M2),,20131106.0,,,,1,(F3),Risk of Recidivism,3,Low,20130506,Risk of Violence,3,Low,20130506,20130830.0,20130831.0,8,16,116,0
28,38,20130318,Female,19790903,36,25 - 45,Caucasian,0,3,0,0,3,53.0,20130510.0,20130511.0,,20121213.0,95.0,F,0,,,,,,,0,,Risk of Recidivism,3,Low,20130318,Risk of Violence,1,Low,20130318,20130510.0,20130511.0,3,0,53,0
29,39,20130220,Male,19890427,26,25 - 45,African-American,0,7,0,1,5,-1.0,20130219.0,20130220.0,20130219.0,,1.0,F,1,(M1),0.0,20140726.0,20140726.0,20140822.0,,0,,Risk of Recidivism,7,Medium,20130220,Risk of Violence,7,Medium,20130220,20140318.0,20140326.0,5,0,391,0
30,40,20141024,Male,19830203,33,25 - 45,African-American,0,10,0,0,0,0.0,20141024.0,20141201.0,20141023.0,,1.0,F,1,(F3),,20150815.0,,,,1,(M1),Risk of Recidivism,10,High,20141024,Risk of Violence,6,Medium,20141024,20150527.0,20150617.0,0,38,215,0
31,41,20130128,Male,19851017,30,25 - 45,Caucasian,0,9,0,0,9,0.0,20130128.0,20130313.0,20130128.0,,0.0,F,1,(F3),0.0,20130709.0,20130709.0,20130710.0,,0,,Risk of Recidivism,9,High,20130128,Risk of Violence,10,High,20130128,20130709.0,20130710.0,9,44,162,1
32,42,20141115,Male,19840316,32,25 - 45,African-American,0,8,0,0,4,-1.0,20141114.0,20141115.0,20141114.0,,1.0,F,1,(M1),1.0,20141121.0,20141122.0,20141124.0,,0,,Risk of Recidivism,8,High,20141115,Risk of Violence,3,Low,20141115,20141122.0,20141124.0,4,0,6,1
33,45,20131230,Male,19600727,55,Greater than 45,Caucasian,0,1,0,0,0,-1.0,20131229.0,20131231.0,,20131229.0,1.0,F,0,,,,,,,0,,Risk of Recidivism,1,Low,20131230,Risk of Violence,1,Low,20131230,20131229.0,20131231.0,0,1,823,0
34,50,20130404,Male,19660727,49,Greater than 45,Other,0,3,0,0,7,-1.0,20130403.0,20130407.0,20130404.0,,0.0,F,1,(M1),,20150123.0,,,,0,,Risk of Recidivism,3,Low,20130404,Risk of Violence,2,Low,20130404,20140819.0,20140820.0,7,3,502,0
35,51,20130409,Male,19900211,26,25 - 45,Caucasian,0,8,0,2,6,81.0,20130629.0,20130711.0,20120323.0,,382.0,M,0,,,,,,,0,,Risk of Recidivism,8,High,20130409,Risk of Violence,8,High,20130409,20130629.0,20130711.0,6,0,81,0
36,52,20131203,Female,19830202,33,25 - 45,Caucasian,0,5,0,0,4,-1.0,20131202.0,20131213.0,20131202.0,,1.0,M,1,(F3),57.0,20140714.0,20140909.0,20140910.0,,0,,Risk of Recidivism,5,Medium,20131203,Risk of Violence,2,Low,20131203,20131202.0,20131213.0,4,10,223,1
37,53,20130915,Male,19910514,24,Less than 25,Caucasian,0,2,0,0,1,0.0,20130915.0,20130916.0,20130915.0,,0.0,M,1,(F3),0.0,20140513.0,20140513.0,20140516.0,,0,,Risk of Recidivism,2,Low,20130915,Risk of Violence,3,Low,20130915,20140513.0,20140516.0,1,1,240,1
38,54,20130111,Male,19810601,34,25 - 45,African-American,2,9,1,3,21,0.0,20130111.0,20130213.0,20130111.0,,0.0,F,1,(M1),0.0,20140609.0,20140609.0,20141204.0,,0,,Risk of Recidivism,9,High,20130111,Risk of Violence,6,Medium,20130111,20140609.0,20141204.0,21,33,514,1
39,55,20130116,Male,19870410,29,25 - 45,Caucasian,0,2,0,0,0,0.0,20130116.0,20130116.0,20130115.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,2,Low,20130116,Risk of Violence,2,Low,20130116,20130116.0,20130116.0,0,0,1171,0
40,56,20130824,Female,19940817,21,Less than 25,African-American,0,8,0,0,2,-1.0,20130823.0,20131111.0,,20130823.0,1.0,F,0,,,,,,,0,,Risk of Recidivism,8,High,20130824,Risk of Violence,8,High,20130824,20150130.0,20150131.0,2,79,524,0
41,57,20130228,Male,19641124,51,Greater than 45,African-American,0,1,0,0,2,-1.0,20130227.0,20130228.0,20130227.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20130228,Risk of Violence,1,Low,20130228,20130227.0,20130228.0,2,0,1128,0
42,59,20140406,Male,19860627,29,25 - 45,Caucasian,0,2,0,0,2,-1.0,20140405.0,20140406.0,20140405.0,,1.0,M,1,(M1),0.0,20140617.0,20140617.0,20140618.0,,0,,Risk of Recidivism,2,Low,20140406,Risk of Violence,2,Low,20140406,20140617.0,20140618.0,2,0,72,1
43,61,20130214,Female,19641111,51,Greater than 45,African-American,0,2,0,0,7,-1.0,20130213.0,20130215.0,20130213.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,2,Low,20130214,Risk of Violence,2,Low,20130214,20140728.0,20140805.0,7,1,529,0
44,64,20140303,Male,19870303,29,25 - 45,African-American,0,7,0,0,0,0.0,20140303.0,20140303.0,20140303.0,,0.0,F,1,(M1),1.0,20140503.0,20140504.0,20140609.0,,0,,Risk of Recidivism,7,Medium,20140303,Risk of Violence,2,Low,20140303,20140904.0,20141002.0,0,0,61,1
45,66,20140328,Male,19900528,25,25 - 45,Caucasian,0,10,0,0,9,-1.0,20140327.0,20140403.0,20140327.0,,1.0,M,1,(F2),0.0,20140405.0,20140405.0,20140414.0,,1,(F2),Risk of Recidivism,10,High,20140328,Risk of Violence,9,High,20140328,20140405.0,20140414.0,9,6,8,1
46,67,20140519,Male,19810119,35,25 - 45,African-American,1,8,0,4,13,-1.0,20140518.0,20140519.0,20140518.0,,1.0,F,1,(MO3),0.0,20140528.0,20140528.0,20140529.0,,1,(MO3),Risk of Recidivism,8,High,20140519,Risk of Violence,3,Low,20140519,20140528.0,20140529.0,13,0,9,1
47,68,20130802,Male,19670219,49,Greater than 45,Caucasian,0,1,0,0,0,0.0,20130802.0,20130802.0,20130802.0,,0.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20130802,Risk of Violence,1,Low,20130802,20130802.0,20130802.0,0,0,973,0
48,69,20141226,Male,19820227,34,25 - 45,African-American,0,3,0,0,4,-59.0,20141028.0,20141218.0,20141028.0,,59.0,M,1,(M2),,20150909.0,,,,0,,Risk of Recidivism,3,Low,20141226,Risk of Violence,2,Low,20141226,20141028.0,20141218.0,4,0,257,1
49,70,20130424,Male,19861006,29,25 - 45,African-American,0,4,0,0,0,0.0,20130424.0,20130424.0,20130423.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,4,Low,20130424,Risk of Violence,3,Low,20130424,20130424.0,20130424.0,0,0,1073,0
50,71,20130603,Male,19860730,29,25 - 45,Caucasian,0,2,0,0,1,-24.0,20130510.0,20130510.0,20130510.0,,24.0,F,1,(M1),0.0,20140818.0,20140818.0,20140818.0,,0,,Risk of Recidivism,2,Low,20130603,Risk of Violence,2,Low,20130603,20140818.0,20140818.0,1,0,441,0
51,72,20131118,Female,19870929,28,25 - 45,Other,0,2,0,0,0,-1.0,20131117.0,20131118.0,20131117.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,2,Low,20131118,Risk of Violence,2,Low,20131118,20131117.0,20131118.0,0,0,865,0
52,75,20130502,Male,19670501,48,Greater than 45,Caucasian,0,6,0,0,20,302.0,20140228.0,20140311.0,,20111018.0,562.0,F,1,(M2),,20140201.0,,,,0,,Risk of Recidivism,6,Medium,20130502,Risk of Violence,4,Low,20130502,20140909.0,20200101.0,20,0,275,1
53,77,20140122,Female,19520815,63,Greater than 45,Hispanic,0,1,0,0,1,-219.0,20130617.0,20130625.0,,20130617.0,219.0,F,0,,,,,,,0,,Risk of Recidivism,1,Low,20140122,Risk of Violence,1,Low,20140122,20130617.0,20130625.0,1,0,800,0
54,79,20130318,Male,19840924,31,25 - 45,African-American,0,5,0,1,15,-1.0,20130317.0,20130731.0,20130317.0,,1.0,F,1,(M2),,20160228.0,,,,0,,Risk of Recidivism,5,Medium,20130318,Risk of Violence,7,Medium,20130318,20130317.0,20130731.0,15,135,1077,1
55,80,20130918,Male,19911007,24,Less than 25,African-American,0,4,0,0,2,-1.0,20130917.0,20130919.0,20130917.0,,1.0,F,1,(M1),1.0,20150416.0,20150417.0,20150417.0,,0,,Risk of Recidivism,4,Low,20130918,Risk of Violence,4,Low,20130918,20130917.0,20130919.0,2,1,575,1
56,83,20130120,Male,19860111,30,25 - 45,Hispanic,0,7,0,0,0,0.0,20130120.0,20130212.0,20130120.0,,0.0,M,0,,,,,,,0,,Risk of Recidivism,7,Medium,20130120,Risk of Violence,3,Low,20130120,20130120.0,20130212.0,0,23,1167,0
57,84,20130827,Male,19670123,49,Greater than 45,African-American,0,1,0,0,4,-1.0,20130826.0,20130827.0,20130826.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20130827,Risk of Violence,1,Low,20130827,20130826.0,20130827.0,4,0,948,0
58,85,20130528,Male,19621207,53,Greater than 45,Caucasian,0,5,0,0,8,-13.0,20130515.0,20130528.0,,20130515.0,13.0,F,0,,,,,,,0,,Risk of Recidivism,5,Medium,20130528,Risk of Violence,2,Low,20130528,20130515.0,20130528.0,8,0,1039,0
59,87,20130211,Male,19800604,35,25 - 45,African-American,0,3,0,0,5,-1.0,20130210.0,20130211.0,20130210.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,3,Low,20130211,Risk of Violence,2,Low,20130211,20130210.0,20130211.0,5,0,1145,0
60,88,20130610,Male,19530409,63,Greater than 45,African-American,0,7,0,0,10,-38.0,20130503.0,20130608.0,20101217.0,,906.0,M,1,(M2),,20130724.0,,,,0,,Risk of Recidivism,7,Medium,20130610,Risk of Violence,5,Medium,20130610,20130503.0,20130608.0,10,0,44,1
61,90,20140830,Male,19890226,27,25 - 45,African-American,1,10,1,2,15,-1.0,20140829.0,20140830.0,20140829.0,,1.0,F,1,(M1),0.0,20141013.0,20141013.0,20141018.0,,0,,Risk of Recidivism,10,High,20140830,Risk of Violence,9,High,20140830,20141013.0,20141018.0,15,0,44,1
62,91,20130204,Male,19770912,38,25 - 45,Caucasian,0,2,0,0,4,-1.0,20130203.0,20130205.0,20130203.0,,1.0,M,1,(M2),,20131103.0,,,,0,,Risk of Recidivism,2,Low,20130204,Risk of Violence,2,Low,20130204,20130203.0,20130205.0,4,1,272,1
63,93,20131116,Male,19930613,22,Less than 25,African-American,0,4,0,1,1,-1.0,20131115.0,20131116.0,20131115.0,,1.0,F,1,(M1),,20141122.0,,,,0,,Risk of Recidivism,4,Low,20131116,Risk of Violence,6,Medium,20131116,20131115.0,20131116.0,1,0,371,1
64,95,20130314,Male,19940411,22,Less than 25,African-American,0,10,1,2,2,70.0,20130523.0,20130924.0,20121120.0,,114.0,F,1,(M2),0.0,20150910.0,20150910.0,20151208.0,,0,,Risk of Recidivism,10,High,20130314,Risk of Violence,9,High,20130314,20130523.0,20130924.0,2,0,70,0
65,96,20130126,Male,19860511,29,25 - 45,African-American,0,9,0,0,4,-1.0,20130125.0,20130213.0,,20130125.0,1.0,F,1,(F3),,20130823.0,,,,0,,Risk of Recidivism,9,High,20130126,Risk of Violence,5,Medium,20130126,20130405.0,20130712.0,4,18,69,0
66,97,20130108,Male,19540126,62,Greater than 45,Hispanic,0,1,0,0,0,0.0,20130108.0,20130108.0,20130107.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20130108,Risk of Violence,1,Low,20130108,20130108.0,20130108.0,0,0,1179,0
67,98,20140430,Male,19880705,27,25 - 45,African-American,0,6,1,0,6,0.0,20140430.0,20140530.0,20140430.0,,0.0,F,1,(F3),0.0,20141109.0,20141109.0,20141110.0,,0,,Risk of Recidivism,6,Medium,20140430,Risk of Violence,3,Low,20140430,20141109.0,20141110.0,6,30,193,1
68,99,20140309,Male,19830219,33,25 - 45,Other,0,1,0,0,0,-1.0,20140308.0,20140309.0,20140308.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20140309,Risk of Violence,1,Low,20140309,20140308.0,20140309.0,0,0,754,0
69,100,20130928,Female,19600103,56,Greater than 45,African-American,0,1,0,0,0,0.0,20130928.0,20131001.0,20130927.0,,1.0,M,0,,,,,,,0,,Risk of Recidivism,1,Low,20130928,Risk of Violence,1,Low,20130928,20130928.0,20131001.0,0,3,916,0
70,101,20130113,Male,19700503,45,Greater than 45,Hispanic,0,1,0,0,6,-1.0,20130112.0,20130911.0,20130112.0,,1.0,F,1,(M2),,20131202.0,,,,1,(M1),Risk of Recidivism,1,Low,20130113,Risk of Violence,1,Low,20130113,20130112.0,20130911.0,6,241,323,1
71,102,20130525,Male,19931016,22,Less than 25,Hispanic,0,4,0,0,1,-1.0,20130524.0,20130525.0,20130524.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,4,Low,20130525,Risk of Violence,6,Medium,20130525,20130524.0,20130525.0,1,0,1042,0
72,105,20130307,Male,19761111,39,25 - 45,African-American,0,4,0,0,1,-1.0,20130306.0,20130311.0,,20130306.0,1.0,M,0,,,,,,,0,,Risk of Recidivism,4,Low,20130307,Risk of Violence,2,Low,20130307,20130306.0,20130311.0,1,4,1121,0
73,107,20130107,Male,19861024,29,25 - 45,African-American,0,6,0,0,5,0.0,20130107.0,20130108.0,20130107.0,,0.0,F,1,(M2),0.0,20130917.0,20130917.0,20130918.0,,0,,Risk of Recidivism,6,Medium,20130107,Risk of Violence,3,Low,20130107,20130917.0,20130918.0,5,1,253,1
74,108,20141203,Male,19890327,27,25 - 45,Caucasian,0,6,0,1,1,-1.0,20141202.0,20141216.0,,20141202.0,1.0,F,1,(F3),,20151109.0,,,,0,,Risk of Recidivism,6,Medium,20141203,Risk of Violence,3,Low,20141203,20150902.0,20151030.0,1,13,273,0
75,111,20130717,Male,19760327,40,25 - 45,African-American,0,2,0,0,2,-15.0,20130702.0,20130705.0,,20130702.0,15.0,F,0,,,,,,,0,,Risk of Recidivism,2,Low,20130717,Risk of Violence,1,Low,20130717,20130702.0,20130705.0,2,0,989,0
76,113,20130825,Male,19930921,22,Less than 25,African-American,0,3,0,0,1,0.0,20130825.0,20130911.0,20130824.0,,1.0,M,1,(M2),,20141006.0,,,,0,,Risk of Recidivism,3,Low,20130825,Risk of Violence,3,Low,20130825,20140508.0,20140529.0,1,17,256,0
77,114,20130219,Male,19931012,22,Less than 25,Caucasian,0,8,0,0,0,-1.0,20130218.0,20130417.0,20130218.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,8,High,20130219,Risk of Violence,6,Medium,20130219,20130503.0,20130524.0,0,57,73,0
78,115,20131108,Female,19890901,26,25 - 45,African-American,0,4,0,0,1,-1.0,20131107.0,20131109.0,20131107.0,,1.0,F,1,(M1),0.0,20131119.0,20131119.0,20140116.0,,1,(F3),Risk of Recidivism,4,Low,20131108,Risk of Violence,3,Low,20131108,20131119.0,20140116.0,1,1,11,1
79,116,20140721,Male,19881011,27,25 - 45,Caucasian,0,7,0,0,1,-43.0,20140608.0,20140627.0,20140607.0,,44.0,F,1,(M1),24.0,20150405.0,20150429.0,20150517.0,,1,(M1),Risk of Recidivism,7,Medium,20140721,Risk of Violence,8,High,20140721,20150629.0,20151113.0,1,0,258,1
80,119,20130304,Male,19830502,32,25 - 45,African-American,0,2,0,0,0,-1.0,20130303.0,20130304.0,20130303.0,,1.0,F,0,,,,,,,0,,Risk of Recidivism,2,Low,20130304,Risk of Violence,1,Low,20130304,20130303.0,20130304.0,0,0,1124,0
81,120,20130228,Male,19740628,41,25 - 45,African-American,0,2,0,0,1,-1.0,20130227.0,20130301.0,,19981219.0,5185.0,M,0,,,,,,,0,,Risk of Recidivism,2,Low,20130228,Risk of Violence,2,Low,20130228,20130227.0,20130301.0,1,1,1128,0
82,122,20130221,Male,19860329,30,25 - 45,African-American,0,10,0,0,8,-1.0,20130220.0,20130221.0,20130220.0,,1.0,M,1,(M1),0.0,20130417.0,20130417.0,20130418.0,,1,(F3),Risk of Recidivism,10,High,20130221,Risk of Violence,9,High,20130221,20130417.0,20130418.0,8,0,55,1
83,127,20140807,Male,19651008,50,Greater than 45,Other,0,1,0,0,0,-1.0,20140806.0,20140807.0,,20140806.0,1.0,F,1,(M2),135.0,20150205.0,20150620.0,20150622.0,,0,,Risk of Recidivism,1,Low,20140807,Risk of Violence,2,Low,20140807,20150620.0,20150622.0,0,0,182,1
84,128,20130420,Male,19910130,25,25 - 45,African-American,1,10,6,1,14,-1.0,20130419.0,20130426.0,,20130419.0,1.0,F,1,(M1),0.0,20130729.0,20130729.0,20130817.0,,1,(M1),Risk of Recidivism,10,High,20130420,Risk of Violence,10,High,20130420,20130729.0,20130817.0,14,6,100,1
85,130,20131003,Male,19950506,20,Less than 25,Other,0,5,0,0,0,-1.0,20131002.0,20131003.0,20131002.0,,1.0,F,1,(F2),0.0,20140130.0,20140130.0,20150329.0,,1,(F2),Risk of Recidivism,5,Medium,20131003,Risk of Violence,8,High,20131003,20140130.0,20150329.0,0,0,119,1
86,131,20140116,Male,19940126,22,Less than 25,African-American,1,9,0,0,2,0.0,20140116.0,20140215.0,20140116.0,,0.0,F,1,(M1),1.0,20140710.0,20140711.0,20140711.0,,0,,Risk of Recidivism,9,High,20140116,Risk of Violence,10,High,20140116,20140116.0,20140215.0,2,30,175,1
87,132,20140317,Male,19921207,23,Less than 25,African-American,0,7,0,1,2,137.0,20140801.0,20140802.0,,20130906.0,192.0,M,1,(M2),,20140915.0,,,,0,,Risk of Recidivism,7,Medium,20140317,Risk of Violence,8,High,20140317,20140801.0,20140802.0,2,0,137,0
88,136,20130330,Female,19800916,35,25 - 45,African-American,0,2,0,0,1,-1.0,20130329.0,20130330.0,,20130329.0,1.0,M,0,,,,,,,0,,Risk of Recidivism,2,Low,20130330,Risk of Violence,1,Low,20130330,20130329.0,20130330.0,1,0,1098,0
89,137,20140429,Male,19791112,36,25 - 45,African-American,0,7,0,0,9,0.0,20140429.0,20140503.0,20140428.0,,1.0,F,1,(M1),1.0,20140526.0,20140527.0,20140527.0,,0,,Risk of Recidivism,7,Medium,20140429,Risk of Violence,6,Medium,20140429,20140429.0,20140503.0,9,4,27,1
90,138,20130112,Male,19890529,26,25 - 45,Caucasian,0,8,0,0,7,0.0,20130112.0,20130112.0,20130111.0,,1.0,F,1,(M1),1.0,20140124.0,20140125.0,20140126.0,,0,,Risk of Recidivism,8,High,20130112,Risk of Violence,4,Low,20130112,20140327.0,20140406.0,7,0,377,1
91,139,20130420,Male,19940906,21,Less than 25,Other,0,6,0,0,1,0.0,20130420.0,20130424.0,20130419.0,,1.0,F,1,(M1),0.0,20131229.0,20131229.0,20140406.0,,0,,Risk of Recidivism,6,Medium,20130420,Risk of Violence,6,Medium,20130420,20131229.0,20140406.0,1,4,253,1
92,142,20141213,Male,19910120,25,25 - 45,Caucasian,0,8,0,0,9,-1.0,20141212.0,20141213.0,20141212.0,,1.0,F,1,(M2),,20150507.0,,,,1,(M1),Risk of Recidivism,8,High,20141213,Risk of Violence,9,High,20141213,20150717.0,20150719.0,9,0,145,1
