,beds,bath,price,year_built,sqft,price_per_sqft,elevation
102,2.0,2.0,1700000,1982,1007,1688,25
103,2.0,2.0,1700000,1982,1007,1688,25
104,0.0,1.0,449000,1962,550,816,10
105,0.0,1.0,299000,1930,400,748,12
106,1.0,1.0,695000,1961,720,965,16
107,1.0,1.0,695000,1961,720,965,16
108,4.0,5.0,17750000,2012,4476,3966,20
109,5.0,5.0,27500000,1930,7500,3667,21
110,0.0,1.0,539000,1957,485,1111,10
111,0.0,1.0,779000,1975,512,1521,10
112,1.0,1.0,925000,1985,745,1242,10
113,1.0,1.0,1319000,1958,1000,1319,10
114,2.0,2.0,4240000,2016,1741,2435,10
115,2.0,2.0,4285000,2016,1747,2453,10
116,3.0,3.0,4875000,2016,2017,2417,10
117,3.0,3.0,14950000,1931,4435,3371,10
118,3.0,3.0,10225000,2016,3007,3400,10
119,4.0,4.0,13400000,2016,3331,4023,10
120,5.0,5.0,19000000,2016,4972,3821,10
121,0.0,1.0,539000,1957,485,1111,11
122,1.0,1.0,835000,1963,700,1193,12
123,10.0,10.0,7995000,1910,6400,1249,12
124,0.0,1.0,349000,1960,400,873,13
125,1.0,1.0,588000,1970,600,980,14
126,2.0,2.0,8690000,2002,2178,3990,15
127,2.0,2.0,4195000,2016,1750,2397,15
128,2.0,2.0,4195000,2016,1742,2408,15
129,2.0,2.0,4240000,2016,1741,2435,15
130,2.0,2.0,4285000,2016,1747,2453,15
131,3.0,3.0,4875000,2016,2017,2417,15
132,3.0,3.0,5750000,2016,2196,2618,15
133,3.0,3.0,9350000,2016,3054,3062,15
134,3.0,3.0,10225000,2016,3007,3400,15
135,4.0,4.0,13150000,2016,3338,3939,15
136,4.0,4.0,13400000,2016,3331,4023,15
137,5.0,5.0,19000000,2016,4972,3821,15
138,0.0,1.0,850000,1924,546,1557,10
139,7.0,7.0,19500000,1994,4238,4601,10
140,1.0,1.0,1000000,1912,612,1634,18
141,0.0,1.0,485000,1902,310,1565,23
142,3.0,2.0,7350000,1999,2075,3542,23
143,1.0,1.0,1200000,1969,600,2000,23
144,2.0,2.0,4250000,2011,1504,2826,23
145,2.0,2.0,3600000,1960,1340,2687,24
146,2.0,2.0,3600000,1960,1340,2687,24
147,1.0,1.0,525000,1924,700,750,24
148,0.0,1.0,545000,1900,387,1408,10
149,1.0,1.0,535000,1900,450,1189,10
150,4.0,4.0,5500000,1923,3200,1719,21
151,4.0,5.0,12000000,1939,3700,3243,22
152,1.0,2.0,1850000,2007,839,2205,23
153,1.0,1.0,535000,1900,450,1189,27
154,2.0,2.0,1350000,1931,1300,1038,36
155,1.0,1.0,779000,1902,700,1113,10
156,2.0,1.0,1475000,1973,971,1519,10
157,2.0,2.0,1385000,1971,962,1440,10
158,1.0,1.0,779000,1902,700,1113,13
159,1.0,1.0,649000,1929,800,811,25
160,0.0,1.0,725000,1960,600,1208,26
161,2.0,1.0,925000,1941,790,1171,27
162,1.0,1.0,965000,1961,787,1226,27
163,2.0,1.0,1250000,1922,1145,1092,30
164,1.0,1.0,650000,1907,720,903,32
165,2.0,1.0,385000,1999,820,470,8
166,2.0,2.0,1695000,2012,1051,1613,16
167,1.0,1.0,600000,1899,1060,566,8
168,2.0,1.0,910000,1899,1060,858,8
169,8.0,7.0,2300000,1910,4180,550,9
170,1.0,1.0,600000,1899,1060,566,10
171,2.0,1.0,910000,1899,1060,858,10
172,2.0,2.0,1599000,1973,1400,1142,10
173,2.0,2.0,4625000,1987,1695,2729,10
174,0.0,1.0,325000,1910,375,867,11
175,2.0,2.0,1599000,1973,1400,1142,14
176,2.0,2.0,1965000,2005,1330,1477,16
177,1.0,1.0,735000,1928,800,919,22
178,2.0,2.0,4625000,1987,1695,2729,29
179,1.0,1.0,749000,2011,762,983,10
180,1.0,1.0,499999,2011,669,747,35
181,1.0,1.0,749000,2011,762,983,35
182,2.0,2.0,904000,1920,1503,601,10
183,2.0,2.0,904000,1920,1503,601,10
184,2.0,1.0,559900,1925,1200,467,51
185,2.0,1.0,545000,1939,1049,520,39
186,2.0,1.0,365000,1925,700,521,73
187,2.0,1.0,365000,1925,700,521,73
188,1.0,1.0,935000,1910,1102,848,8
189,0.0,1.0,820000,2013,533,1538,8
190,0.0,1.0,835000,2013,501,1667,8
191,1.0,1.0,935000,1910,1102,848,10
192,1.0,1.0,1420000,2004,768,1849,10
193,1.0,1.0,1550000,2004,794,1952,10
194,2.0,2.0,1635000,2004,957,1708,10
195,1.0,1.0,1550000,2004,794,1952,11
196,1.0,1.0,1780000,2007,988,1802,14
197,2.0,2.0,2800000,2007,1308,2141,14
198,1.0,1.0,411500,1921,586,702,6
199,2.0,2.0,2175000,1999,1569,1386,10
200,2.0,2.0,1995000,1996,1044,1911,10
201,2.0,2.0,2235000,1999,1548,1444,14
202,4.0,4.0,8800000,1941,3382,2602,15
203,2.0,2.0,1850000,1996,1044,1772,17
204,2.0,2.0,1995000,1996,1044,1911,17
205,1.0,1.0,1695000,1927,680,2493,17
206,1.0,1.0,1495000,1962,1125,1329,19
207,2.0,2.0,2200000,2000,1044,2107,2
208,0.5,1.0,384900,1962,540,713,10
209,1.0,1.0,515000,1962,725,710,10
210,3.0,2.0,1950000,1956,1600,1219,10
211,0.0,1.0,307000,1910,330,930,15
212,2.0,2.0,1735000,1980,1585,1095,18
213,3.0,3.0,1850000,2005,1353,1367,8
214,3.0,3.0,1850000,2005,1353,1367,10
215,2.0,2.0,1995000,1986,1406,1419,14
216,2.0,2.0,2900000,1987,1600,1813,24
217,2.0,2.0,2499000,2004,1658,1507,24
218,2.0,2.0,1575000,1930,1324,1190,33
219,3.0,3.0,1495000,1990,1360,1099,0
220,1.0,1.0,529000,1986,650,814,0
221,3.0,3.0,2695000,2006,1991,1354,1
222,3.0,3.0,2695000,2006,1991,1354,1
223,4.0,3.0,3895000,2001,2277,1711,0
224,1.0,1.0,550000,1982,724,760,24
225,2.0,2.0,849000,1982,1030,824,24
226,3.0,2.0,1750000,1900,2950,593,26
227,1.0,1.0,799000,2008,847,943,29
228,1.0,1.5,899000,1997,1453,619,3
229,1.0,1.0,598000,2005,534,1120,5
230,1.0,2.0,1088000,1998,1086,1002,6
231,1.0,1.0,798000,1926,769,1038,10
232,1.0,1.0,798000,1926,769,1038,10
233,1.0,1.0,1495000,1927,2275,657,10
234,4.0,4.0,4300000,2006,3321,1295,10
235,1.0,1.0,699000,2008,756,925,12
236,2.0,2.0,334905,2000,1047,320,12
237,1.0,1.5,849000,1996,1127,753,13
238,1.0,1.5,1365000,1996,1607,849,13
239,1.0,1.0,649000,2011,674,963,14
240,3.0,3.0,1245000,1907,1503,828,23
241,1.0,1.0,649000,1983,850,764,163
242,2.0,2.0,1700000,1987,1250,1360,11
243,2.0,2.0,1980000,2009,1469,1348,0
244,2.0,2.0,3600000,2009,1652,2179,0
245,2.0,3.0,4995000,2009,2230,2240,0
246,2.0,2.0,1298000,2008,1159,1120,0
247,2.0,2.0,2149000,2008,1317,1632,0
248,3.0,2.0,1995000,2006,1362,1465,3
249,2.0,2.0,1650000,1937,1640,1006,7
250,1.0,1.0,949000,2010,824,1152,8
251,1.0,1.0,187518,2000,670,280,12
252,3.0,2.5,1995000,2008,2354,847,23
253,3.0,2.5,1995000,2008,2354,847,23
254,2.0,2.0,2799000,2008,1328,2108,35
255,2.0,2.5,1050000,2000,1640,640,2
256,2.0,2.0,895000,2006,1113,804,3
257,1.0,1.0,998000,2006,872,1144,3
258,2.0,2.0,1659000,2000,1165,1424,4
259,1.0,1.0,788000,2004,903,873,4
260,2.0,2.0,1395000,2001,1334,1046,4
261,2.0,2.0,1299000,2004,1453,894,5
262,2.0,2.5,850000,2000,1136,748,5
263,3.0,2.5,2850000,2013,2075,1373,5
264,2.0,2.0,950000,2000,1258,755,6
265,2.0,2.0,1600000,2002,1173,1364,7
266,3.0,2.0,1275000,2001,1502,849,13
267,1.0,1.5,775000,2009,835,928,14
268,3.0,2.0,1399000,1892,1809,773,41
269,2.0,2.0,879000,1912,950,925,53
270,1.0,1.0,699000,1907,932,750,59
271,1.0,1.0,985000,1978,884,1114,11
272,1.0,1.0,725000,1978,1063,682,60
273,2.0,2.0,849000,1911,1100,772,66
274,1.0,1.0,618000,1973,705,877,72
275,2.0,2.0,5950000,1989,3700,1608,83
276,4.0,4.0,1800000,1948,2475,727,10
277,2.0,2.5,2350000,2008,1314,1788,19
278,1.0,1.0,740200,1920,989,748,41
279,1.0,1.0,699000,1982,780,896,51
280,2.0,2.0,958000,2005,915,1047,54
281,2.0,2.0,1200000,1909,1302,922,56
282,3.0,3.0,1575000,1993,2233,705,62
283,2.0,2.0,1199000,1964,1100,1090,68
284,1.0,1.0,529000,1966,791,669,69
285,1.0,1.0,699000,1984,880,794,73
286,3.0,2.0,1295000,1926,1675,773,77
287,4.0,4.0,1800000,1948,2347,767,87
288,1.0,1.0,795000,2000,990,803,7
289,2.0,2.0,779000,2007,808,964,7
290,1.0,1.5,378551,2000,1000,379,9
291,4.0,2.3,1398000,1904,2492,561,13
292,2.0,1.3,1097000,1904,1493,735,14
293,1.0,1.0,670000,2014,507,1321,20
294,2.0,2.0,1199000,2014,943,1271,20
295,2.0,2.0,1095000,2010,1135,965,30
296,1.0,2.0,795000,2014,616,1291,31
297,3.0,2.0,979000,1900,1440,680,33
298,3.0,3.0,1488888,1977,2100,709,38
299,3.0,2.0,1389000,1908,1546,898,55
300,3.0,2.0,1389000,1908,1546,898,55
301,4.0,2.0,1099000,1962,1267,867,69
302,3.0,3.5,1799000,1900,2449,735,75
303,3.0,2.0,1250000,1924,1450,862,83
304,3.0,2.0,998000,1907,1464,682,84
305,3.0,2.5,1300000,1975,1642,792,4
306,1.0,1.0,539000,2000,709,760,5
307,1.0,1.0,735000,1983,779,944,12
308,3.0,2.0,688000,1942,1441,477,34
309,2.0,1.0,859000,1890,1100,781,44
310,3.0,2.0,699000,1964,1250,559,48
311,2.0,1.0,750000,1924,980,765,48
312,3.0,2.0,549000,1915,1972,278,51
313,6.0,3.0,1600000,1926,2567,623,52
314,2.0,2.0,875000,1909,1700,515,54
315,4.0,3.0,900000,2003,1870,481,54
316,3.0,2.0,748000,1930,1522,491,54
317,2.0,1.5,749000,1949,1348,556,56
318,2.0,1.0,599000,1942,707,847,61
319,3.0,1.0,648800,1940,1325,490,66
320,2.0,2.0,649000,1924,1320,492,72
321,2.0,1.0,798888,1929,1025,779,74
322,5.0,2.0,899000,1972,1940,463,81
323,3.0,1.5,699000,1910,1625,430,94
324,3.0,2.0,749000,1907,1513,495,95
325,3.0,2.0,535000,1967,1824,293,102
326,2.0,1.0,699000,1913,900,777,108
327,2.0,1.0,699000,1913,900,777,108
328,2.0,1.0,500000,1958,1166,429,136
329,3.0,2.5,879000,1981,2111,416,139
330,3.0,2.5,879000,1981,2111,416,139
331,4.0,2.5,699900,1982,1752,399,140
332,2.0,1.0,688000,1950,1145,601,143
333,3.0,2.0,1195000,1907,1396,856,33
334,3.0,2.0,1195000,1907,1396,856,33
335,1.0,1.0,697000,1922,694,1004,50
336,5.0,3.5,3995000,1905,3350,1193,59
337,1.0,1.0,650000,1955,600,1083,74
338,1.0,1.0,650000,1955,600,1083,74
339,1.0,1.0,775000,1955,600,1292,74
340,1.0,1.0,825000,1955,600,1375,74
341,2.0,1.0,699000,1907,915,764,89
342,3.0,2.0,1495000,1927,1520,984,105
343,4.0,4.5,5200000,1952,4813,1080,238
344,2.0,2.0,989000,1984,988,1001,46
345,3.0,1.0,1095000,1895,1465,747,68
346,1.0,1.0,725000,1900,811,894,70
347,1.0,1.0,725000,1900,811,894,70
348,4.0,4.0,2650000,1900,3816,694,75
349,2.0,2.0,1680000,1962,1850,908,89
350,1.0,1.0,1199000,1906,1139,1053,91
351,3.0,2.5,799000,1947,1400,571,35
352,3.0,2.0,795000,1954,1350,589,36
353,2.0,1.0,699000,1944,995,703,41
354,3.0,2.0,848000,1940,1500,565,42
355,3.0,2.0,899000,1948,1665,540,52
356,3.0,2.0,899000,1948,1665,540,52
357,6.0,4.0,1198000,1937,1965,610,79
358,3.0,3.0,1100000,1925,2633,418,91
359,6.0,3.5,949000,1918,2473,384,97
360,5.0,5.0,2990000,2014,5000,598,108
361,4.0,3.0,1338800,1940,2330,575,119
362,3.0,2.5,1388000,1928,1905,729,160
363,3.0,2.0,989000,1940,1603,617,227
364,3.0,1.0,1295000,1890,1772,731,65
365,6.0,6.0,6895000,1902,7800,884,67
366,2.0,2.0,1725000,1922,1415,1219,86
367,3.0,3.0,1995000,1922,1915,1042,88
368,0.0,1.0,499000,1900,510,978,91
369,0.0,1.0,499000,1900,510,978,91
370,1.0,1.0,599000,1900,624,960,91
371,1.0,1.0,599000,1900,624,960,91
372,3.0,2.0,1200000,1929,1284,935,121
373,3.0,2.0,1395000,1909,1877,743,57
374,3.0,3.0,1785000,1925,1970,906,58
375,3.0,2.0,1099000,1905,1457,754,67
376,5.0,5.5,3495000,1921,4310,811,73
377,3.0,2.0,2395000,1929,2323,1031,73
378,4.0,2.5,2549000,1907,2746,928,75
379,3.0,2.0,995000,2000,1393,714,75
380,5.0,3.5,6495000,1906,4609,1409,89
381,4.0,3.0,1698000,1890,1789,949,102
382,5.0,2.0,6298000,1914,3585,1757,26
383,3.0,3.0,1139000,2008,1532,743,44
384,3.0,2.0,1080000,1914,1954,553,49
385,4.0,1.0,1050000,1932,1767,594,55
386,1.0,1.0,739900,1941,875,846,70
387,4.0,4.0,1595000,1925,2750,580,81
388,2.0,1.0,699000,1907,1200,583,14
389,2.0,1.0,799000,1938,1150,695,36
390,4.0,2.5,995000,1915,2180,456,62
391,2.0,1.0,829000,1925,1145,724,71
392,2.0,1.0,875000,1908,1158,756,84
393,5.0,3.0,950000,1939,1846,515,97
394,2.0,1.0,749000,1936,1450,517,110
395,2.0,1.0,749000,1936,1450,517,110
396,6.0,6.5,9500000,1937,5420,1753,3
397,4.0,3.0,3595000,1931,3017,1192,9
398,2.0,1.5,1425000,1925,1360,1048,14
399,1.0,1.0,865000,1993,960,901,17
400,2.0,2.5,2495000,1940,1809,1379,48
401,2.0,2.0,2000000,1925,1518,1318,50
402,4.0,3.5,9895000,2008,6024,1643,62
403,3.0,2.0,358000,1989,1325,270,5
404,3.0,2.5,899000,2015,1391,646,5
405,3.0,2.5,929000,2015,1391,668,5
406,4.0,4.0,850000,1928,2470,344,8
407,2.0,1.0,648000,1921,1125,576,11
408,2.0,1.0,480000,1915,680,706,13
409,1.0,1.0,499000,1900,1076,464,19
410,4.0,2.0,689000,1951,1473,468,21
411,2.0,2.0,669000,1986,1317,508,23
412,2.0,1.5,729000,1942,1012,720,27
413,2.0,2.0,767000,1916,1380,556,31
414,3.0,1.0,660000,1900,1520,434,35
415,2.0,1.0,995000,1908,600,1658,36
416,2.0,1.0,759900,1941,1175,647,43
417,6.0,3.5,995000,2001,3080,323,55
418,2.0,1.0,725000,1945,1040,697,60
419,4.0,3.0,3420000,1926,5113,669,98
420,3.0,2.0,1650000,1922,2025,815,106
421,3.0,3.5,2250000,1928,3258,691,127
422,3.0,1.0,1319000,1925,1752,753,141
423,5.0,3.5,1698000,1966,2769,613,176
424,3.0,2.0,1049000,1947,1626,645,179
425,2.0,2.0,599000,1990,862,695,181
426,5.0,3.5,2995000,1947,3890,770,181
427,3.0,2.0,995000,1956,1305,762,216
428,1.0,1.0,350000,1908,600,583,43
429,2.0,1.0,550000,1908,800,688,43
430,4.0,4.0,3760000,1900,3085,1219,49
431,3.0,2.0,1050000,1922,1266,829,52
432,2.0,2.0,1895000,1907,1756,1079,54
433,1.0,1.0,599000,1961,680,881,56
434,4.0,3.0,1895000,2001,2041,928,61
435,3.0,2.0,1799000,1926,1800,999,66
436,2.0,1.0,600000,1908,1350,444,92
437,2.0,1.0,1495000,1908,1700,879,98
438,3.0,2.0,1595000,1961,1515,1053,103
439,3.0,2.0,849000,1947,1622,523,106
440,4.0,3.5,1995000,1992,3312,602,108
441,3.0,2.0,1495000,1937,1635,914,112
442,3.0,3.5,2195000,1922,2168,1012,125
443,4.0,2.0,1798000,1951,2050,877,131
444,2.0,2.0,849000,1978,1555,546,139
445,3.0,2.0,1159000,1977,1731,670,143
446,3.0,2.5,995000,1976,1959,508,163
447,4.0,3.0,1388000,1968,2275,610,163
448,5.0,3.5,2250000,1962,3729,603,174
449,3.0,2.0,1080000,1989,1524,709,185
450,3.0,2.5,1095000,1968,1868,586,187
451,2.0,1.0,599000,1972,990,605,189
452,2.0,1.0,915000,1954,1251,731,24
453,2.0,1.0,915000,1954,1251,731,24
454,3.0,2.0,725000,1975,1474,492,34
455,3.0,2.5,1588000,2015,2001,794,43
456,2.0,1.0,795000,1941,1256,633,63
457,2.0,1.0,795000,1941,1256,633,63
458,4.0,2.0,848000,1949,1646,515,69
459,1.0,1.0,439000,2002,667,658,80
460,3.0,2.0,849900,1958,1310,649,118
461,2.0,1.0,599000,1941,1254,478,123
462,3.0,2.5,1539514,2014,2024,761,136
463,3.0,2.5,1339000,2015,2133,628,143
464,3.0,2.5,1294000,2015,2133,607,143
465,3.0,2.5,1611000,2015,2001,805,153
466,2.0,2.0,1495000,1913,1174,1273,35
467,1.0,1.0,699000,1908,750,932,36
468,2.0,2.5,3495000,1900,1968,1776,76
469,4.0,2.0,699000,1949,1550,451,11
470,2.0,1.0,699000,1949,1050,666,64
471,3.0,3.0,888000,1975,1555,571,79
472,1.0,1.0,599000,1945,631,949,84
473,3.0,3.0,758000,1989,2157,351,90
474,2.0,2.0,1698000,2008,1620,1048,1
475,2.0,2.0,1698000,2008,1620,1048,1
476,1.0,1.0,849000,2012,886,958,2
477,2.0,2.0,1675000,2012,1562,1072,2
478,2.0,2.0,1695000,2007,1610,1053,2
479,3.0,2.0,2219000,2012,1921,1155,13
480,1.0,1.0,788000,2004,903,873,4
481,2.0,2.0,1950000,1995,1930,1010,4
482,0.0,1.0,539000,2000,709,760,5
483,2.0,2.0,849000,1982,1030,824,24
484,2.0,2.5,2495000,1940,1809,1379,48
485,4.0,4.0,3760000,1894,3085,1219,49
486,3.0,2.0,1799000,1926,1800,999,66
487,5.0,2.5,1800000,1890,3073,586,76
488,2.0,1.0,695000,1923,1045,665,106
489,3.0,2.0,1650000,1922,1483,1113,106
490,1.0,1.0,649000,1983,850,764,163
491,3.0,2.0,995000,1956,1305,762,216
