@relation none
@attribute id integer
@attribute compas_screening_date integer
@attribute sex string
@attribute dob integer
@attribute age integer
@attribute age_cat string
@attribute race string
@attribute juv_fel_count integer
@attribute decile_score integer
@attribute juv_misd_count integer
@attribute juv_other_count integer
@attribute priors_count integer
@attribute days_b_screening_arrest real
@attribute c_jail_in real
@attribute c_jail_out real
@attribute c_offense_date real
@attribute c_arrest_date real
@attribute c_days_from_compas real
@attribute c_charge_degree string
@attribute c_charge_desc string
@attribute is_recid integer
@attribute r_charge_degree string
@attribute r_days_from_arrest real
@attribute r_offense_date real
@attribute r_charge_desc string
@attribute r_jail_in real
@attribute r_jail_out real
@attribute violent_recid real
@attribute is_violent_recid integer
@attribute vr_charge_degree string
@attribute type_of_assessment string
@attribute decile_score.1 integer
@attribute score_text string
@attribute screening_date integer
@attribute v_type_of_assessment string
@attribute v_decile_score integer
@attribute v_score_text string
@attribute v_screening_date integer
@attribute in_custody real
@attribute out_custody real
@attribute priors_count.1 integer
@attribute start integer
@attribute end integer
@attribute event integer
@attribute two_year_recid string
@data
20,20140603,'Male',19850325,31,'25 - 45','African-American',0,3,0,0,7,22.0,20140625.0,20140628.0,20140324.0,20129338.55233069,71.0,'F','Felony Driving While Lic Suspd',1,'(M1)',0.0,20140625.0,'Criminal Mischief>$200<$1000',20140625.0,20140628.0,nan,0,'(M1)','Risk of Recidivism',3,'Low',20140603,'Risk of Violence',2,'Low',20140603,20140625.0,20140628.0,7,0,22,1,'1'
21,20140324,'Male',19790125,37,'25 - 45','Hispanic',0,1,0,0,0,0.0,20140324.0,20140324.0,20140324.0,20129338.55233069,0.0,'M','Battery',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20140324,'Risk of Violence',1,'Low',20140324,20140324.0,20140324.0,0,0,739,0,'0'
22,20131222,'Male',19900622,25,'25 - 45','African-American',0,10,0,0,3,-1.0,20131221.0,20131222.0,20131221.0,20129338.55233069,1.0,'F','Grand Theft in the 3rd Degree',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',10,'High',20131222,'Risk of Violence',9,'High',20131222,20150330.0,20150531.0,3,0,463,0,'0'
23,20131117,'Male',19841224,31,'25 - 45','Caucasian',0,5,0,0,6,-1.0,20131116.0,20131117.0,20131116.0,20129338.55233069,1.0,'F','Driving While License Revoked',1,'(F3)',20.269430051813472,20140716.0,'Grand Theft in the 3rd Degree',20142328.04015544,20143381.623488773,nan,1,'(F1)','Risk of Recidivism',5,'Medium',20131117,'Risk of Violence',4,'Low',20131117,20131116.0,20131117.0,6,0,241,1,'1'
24,20141115,'Male',19850108,31,'25 - 45','Caucasian',0,3,0,0,5,-1.0,20141114.0,20141115.0,20141114.0,20129338.55233069,1.0,'F','Possession Of Heroin',1,'(F3)',1.0,20150427.0,'Possession of Cocaine',20150428.0,20150601.0,nan,0,'(M1)','Risk of Recidivism',3,'Low',20141115,'Risk of Violence',2,'Low',20141115,20160216.0,20160318.0,5,0,163,1,'1'
25,20140502,'Male',19510628,64,'Greater than 45','African-American',0,6,0,0,13,-1.0,20140501.0,20140502.0,20132323.86044592,20140501.0,1.0,'F','arrest case no charge',1,'(F2)',0.0,20140503.0,'Poss Cocaine/Intent To Del/Sel',20140503.0,20140504.0,nan,0,'(M1)','Risk of Recidivism',6,'Medium',20140502,'Risk of Violence',3,'Low',20140502,20140503.0,20140504.0,13,0,1,1,'1'
26,20130418,'Male',19941129,21,'Less than 25','African-American',0,9,0,0,1,-1.0,20130417.0,20130420.0,20130417.0,20129338.55233069,1.0,'F','Battery on Law Enforc Officer',1,'(M2)',0.0,20130518.0,'Prowling/Loitering',20130518.0,20130519.0,nan,0,'(M1)','Risk of Recidivism',9,'High',20130418,'Risk of Violence',9,'High',20130418,20130518.0,20130519.0,1,2,30,1,'1'
27,20141016,'Male',19880806,27,'25 - 45','Caucasian',0,2,0,0,0,0.0,20141016.0,20141016.0,20141016.0,20129338.55233069,0.0,'M','Possession Of Methamphetamine',1,'(M2)',20.269430051813472,20150105.0,'Operating W/O Valid License',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',2,'Low',20141016,'Risk of Violence',3,'Low',20141016,20141016.0,20141016.0,0,0,81,1,'1'
28,20131122,'Female',19950322,21,'Less than 25','Caucasian',0,4,0,0,0,-2.0,20131120.0,20131121.0,20131120.0,20129338.55233069,2.0,'F','Introduce Contraband Into Jail',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',4,'Low',20131122,'Risk of Violence',5,'Medium',20131122,20131120.0,20131121.0,0,0,861,0,'0'
30,20130208,'Male',19920123,24,'Less than 25','Hispanic',0,4,0,0,1,0.0,20130208.0,20130209.0,20130207.0,20129338.55233069,1.0,'F','Lewd/Lasc Battery Pers 12+/<16',1,'(M1)',20.269430051813472,20140326.0,'Possess Cannabis/20 Grams Or Less',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',4,'Low',20130208,'Risk of Violence',5,'Medium',20130208,20130208.0,20130209.0,1,1,411,1,'1'
32,20130125,'Male',19730110,43,'25 - 45','Caucasian',0,1,0,0,1,-1.0,20130124.0,20130125.0,20130124.0,20129338.55233069,1.0,'M','Susp Drivers Lic 1st Offense',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20130125,'Risk of Violence',2,'Low',20130125,20130124.0,20130125.0,1,0,1162,0,'0'
33,20130511,'Male',19830824,32,'25 - 45','Other',0,3,0,0,0,-1.0,20130510.0,20130512.0,20130510.0,20129338.55233069,1.0,'M','Battery',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',3,'Low',20130511,'Risk of Violence',4,'Low',20130511,20130510.0,20130512.0,0,1,1056,0,'0'
37,20130506,'Male',19890208,27,'25 - 45','African-American',0,3,0,0,8,-1.0,20130505.0,20130522.0,20130505.0,20129338.55233069,1.0,'F','Carrying Concealed Firearm',1,'(M2)',20.269430051813472,20131106.0,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,1,'(F3)','Risk of Recidivism',3,'Low',20130506,'Risk of Violence',3,'Low',20130506,20130830.0,20130831.0,8,16,116,0,'1'
38,20130318,'Female',19790903,36,'25 - 45','Caucasian',0,3,0,0,3,53.0,20130510.0,20130511.0,20132323.86044592,20121213.0,95.0,'F','arrest case no charge',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',3,'Low',20130318,'Risk of Violence',1,'Low',20130318,20130510.0,20130511.0,3,0,53,0,'0'
39,20130220,'Male',19890427,26,'25 - 45','African-American',0,7,0,1,5,-1.0,20130219.0,20130220.0,20130219.0,20129338.55233069,1.0,'F','Pos Cannabis W/Intent Sel/Del',1,'(M1)',0.0,20140726.0,'Possess Cannabis/20 Grams Or Less',20140726.0,20140822.0,nan,0,'(M1)','Risk of Recidivism',7,'Medium',20130220,'Risk of Violence',7,'Medium',20130220,20140318.0,20140326.0,5,0,391,0,'1'
40,20141024,'Male',19830203,33,'25 - 45','African-American',0,10,0,0,0,0.0,20141024.0,20141201.0,20141023.0,20129338.55233069,1.0,'F','Tampering With Physical Evidence',1,'(F3)',20.269430051813472,20150815.0,'False Imprisonment',20142328.04015544,20143381.623488773,nan,1,'(M1)','Risk of Recidivism',10,'High',20141024,'Risk of Violence',6,'Medium',20141024,20150527.0,20150617.0,0,38,215,0,'1'
41,20130128,'Male',19851017,30,'25 - 45','Caucasian',0,9,0,0,9,0.0,20130128.0,20130313.0,20130128.0,20129338.55233069,0.0,'F','Felony Battery w/Prior Convict',1,'(F3)',0.0,20130709.0,'Grand Theft (Motor Vehicle)',20130709.0,20130710.0,nan,0,'(M1)','Risk of Recidivism',9,'High',20130128,'Risk of Violence',10,'High',20130128,20130709.0,20130710.0,9,44,162,1,'1'
42,20141115,'Male',19840316,32,'25 - 45','African-American',0,8,0,0,4,-1.0,20141114.0,20141115.0,20141114.0,20129338.55233069,1.0,'F','Att Tamper w/Physical Evidence',1,'(M1)',1.0,20141121.0,'Resist/Obstruct W/O Violence',20141122.0,20141124.0,nan,0,'(M1)','Risk of Recidivism',8,'High',20141115,'Risk of Violence',3,'Low',20141115,20141122.0,20141124.0,4,0,6,1,'1'
45,20131230,'Male',19600727,55,'Greater than 45','Caucasian',0,1,0,0,0,-1.0,20131229.0,20131231.0,20132323.86044592,20131229.0,1.0,'F','arrest case no charge',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20131230,'Risk of Violence',1,'Low',20131230,20131229.0,20131231.0,0,1,823,0,'0'
50,20130404,'Male',19660727,49,'Greater than 45','Other',0,3,0,0,7,-1.0,20130403.0,20130407.0,20130404.0,20129338.55233069,0.0,'F','Agg Fleeing and Eluding',1,'(M1)',20.269430051813472,20150123.0,'Possess Cannabis/20 Grams Or Less',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',3,'Low',20130404,'Risk of Violence',2,'Low',20130404,20140819.0,20140820.0,7,3,502,0,'1'
51,20130409,'Male',19900211,26,'25 - 45','Caucasian',0,8,0,2,6,81.0,20130629.0,20130711.0,20120323.0,20129338.55233069,382.0,'M','Operating W/O Valid License',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',8,'High',20130409,'Risk of Violence',8,'High',20130409,20130629.0,20130711.0,6,0,81,0,'0'
52,20131203,'Female',19830202,33,'25 - 45','Caucasian',0,5,0,0,4,-1.0,20131202.0,20131213.0,20131202.0,20129338.55233069,1.0,'M','Battery',1,'(F3)',57.0,20140714.0,'Grand Theft in the 3rd Degree',20140909.0,20140910.0,nan,0,'(M1)','Risk of Recidivism',5,'Medium',20131203,'Risk of Violence',2,'Low',20131203,20131202.0,20131213.0,4,10,223,1,'1'
53,20130915,'Male',19910514,24,'Less than 25','Caucasian',0,2,0,0,1,0.0,20130915.0,20130916.0,20130915.0,20129338.55233069,0.0,'M','Battery',1,'(F3)',0.0,20140513.0,'Possession of Cannabis',20140513.0,20140516.0,nan,0,'(M1)','Risk of Recidivism',2,'Low',20130915,'Risk of Violence',3,'Low',20130915,20140513.0,20140516.0,1,1,240,1,'1'
54,20130111,'Male',19810601,34,'25 - 45','African-American',2,9,1,3,21,0.0,20130111.0,20130213.0,20130111.0,20129338.55233069,0.0,'F','Poss Wep Conv Felon',1,'(M1)',0.0,20140609.0,'Unlaw Use False Name/Identity',20140609.0,20141204.0,nan,0,'(M1)','Risk of Recidivism',9,'High',20130111,'Risk of Violence',6,'Medium',20130111,20140609.0,20141204.0,21,33,514,1,'1'
55,20130116,'Male',19870410,29,'25 - 45','Caucasian',0,2,0,0,0,0.0,20130116.0,20130116.0,20130115.0,20129338.55233069,1.0,'M','Possess Cannabis/20 Grams Or Less',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',2,'Low',20130116,'Risk of Violence',2,'Low',20130116,20130116.0,20130116.0,0,0,1171,0,'0'
56,20130824,'Female',19940817,21,'Less than 25','African-American',0,8,0,0,2,-1.0,20130823.0,20131111.0,20132323.86044592,20130823.0,1.0,'F','arrest case no charge',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',8,'High',20130824,'Risk of Violence',8,'High',20130824,20150130.0,20150131.0,2,79,524,0,'0'
57,20130228,'Male',19641124,51,'Greater than 45','African-American',0,1,0,0,2,-1.0,20130227.0,20130228.0,20130227.0,20129338.55233069,1.0,'M','Unlaw Use False Name/Identity',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20130228,'Risk of Violence',1,'Low',20130228,20130227.0,20130228.0,2,0,1128,0,'0'
59,20140406,'Male',19860627,29,'25 - 45','Caucasian',0,2,0,0,2,-1.0,20140405.0,20140406.0,20140405.0,20129338.55233069,1.0,'M','Viol Injunct Domestic Violence',1,'(M1)',0.0,20140617.0,'Viol Pretrial Release Dom Viol',20140617.0,20140618.0,nan,0,'(M1)','Risk of Recidivism',2,'Low',20140406,'Risk of Violence',2,'Low',20140406,20140617.0,20140618.0,2,0,72,1,'1'
61,20130214,'Female',19641111,51,'Greater than 45','African-American',0,2,0,0,7,-1.0,20130213.0,20130215.0,20130213.0,20129338.55233069,1.0,'F','Possession of Cocaine',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',2,'Low',20130214,'Risk of Violence',2,'Low',20130214,20140728.0,20140805.0,7,1,529,0,'0'
64,20140303,'Male',19870303,29,'25 - 45','African-American',0,7,0,0,0,0.0,20140303.0,20140303.0,20140303.0,20129338.55233069,0.0,'F','Defrauding Innkeeper $300/More',1,'(M1)',1.0,20140503.0,'Viol Injunct Domestic Violence',20140504.0,20140609.0,nan,0,'(M1)','Risk of Recidivism',7,'Medium',20140303,'Risk of Violence',2,'Low',20140303,20140904.0,20141002.0,0,0,61,1,'1'
66,20140328,'Male',19900528,25,'25 - 45','Caucasian',0,10,0,0,9,-1.0,20140327.0,20140403.0,20140327.0,20129338.55233069,1.0,'M','Battery',1,'(F2)',0.0,20140405.0,'Agg Battery Grt/Bod/Harm',20140405.0,20140414.0,nan,1,'(F2)','Risk of Recidivism',10,'High',20140328,'Risk of Violence',9,'High',20140328,20140405.0,20140414.0,9,6,8,1,'1'
67,20140519,'Male',19810119,35,'25 - 45','African-American',1,8,0,4,13,-1.0,20140518.0,20140519.0,20140518.0,20129338.55233069,1.0,'F','Uttering a Forged Instrument',1,'(MO3)',0.0,20140528.0,'DOC/Fighting/Threatening Words',20140528.0,20140529.0,nan,1,'(MO3)','Risk of Recidivism',8,'High',20140519,'Risk of Violence',3,'Low',20140519,20140528.0,20140529.0,13,0,9,1,'1'
68,20130802,'Male',19670219,49,'Greater than 45','Caucasian',0,1,0,0,0,0.0,20130802.0,20130802.0,20130802.0,20129338.55233069,0.0,'M','DUI Level 0.15 Or Minor In Veh',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20130802,'Risk of Violence',1,'Low',20130802,20130802.0,20130802.0,0,0,973,0,'0'
69,20141226,'Male',19820227,34,'25 - 45','African-American',0,3,0,0,4,-59.0,20141028.0,20141218.0,20141028.0,20129338.55233069,59.0,'M','Driving License Suspended',1,'(M2)',20.269430051813472,20150909.0,'DWLS Canceled Disqul 1st Off',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',3,'Low',20141226,'Risk of Violence',2,'Low',20141226,20141028.0,20141218.0,4,0,257,1,'1'
70,20130424,'Male',19861006,29,'25 - 45','African-American',0,4,0,0,0,0.0,20130424.0,20130424.0,20130423.0,20129338.55233069,1.0,'F','Tampering With Physical Evidence',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',4,'Low',20130424,'Risk of Violence',3,'Low',20130424,20130424.0,20130424.0,0,0,1073,0,'0'
71,20130603,'Male',19860730,29,'25 - 45','Caucasian',0,2,0,0,1,-24.0,20130510.0,20130510.0,20130510.0,20129338.55233069,24.0,'F','Possession of Oxycodone',1,'(M1)',0.0,20140818.0,'Driving Under The Influence',20140818.0,20140818.0,nan,0,'(M1)','Risk of Recidivism',2,'Low',20130603,'Risk of Violence',2,'Low',20130603,20140818.0,20140818.0,1,0,441,0,'1'
72,20131118,'Female',19870929,28,'25 - 45','Other',0,2,0,0,0,-1.0,20131117.0,20131118.0,20131117.0,20129338.55233069,1.0,'F','Grand Theft in the 3rd Degree',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',2,'Low',20131118,'Risk of Violence',2,'Low',20131118,20131117.0,20131118.0,0,0,865,0,'0'
75,20130502,'Male',19670501,48,'Greater than 45','Caucasian',0,6,0,0,20,302.0,20140228.0,20140311.0,20132323.86044592,20111018.0,562.0,'F','arrest case no charge',1,'(M2)',20.269430051813472,20140201.0,'Trespass Struct/Conveyance',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',6,'Medium',20130502,'Risk of Violence',4,'Low',20130502,20140909.0,20200101.0,20,0,275,1,'1'
77,20140122,'Female',19520815,63,'Greater than 45','Hispanic',0,1,0,0,1,-219.0,20130617.0,20130625.0,20132323.86044592,20130617.0,219.0,'F','arrest case no charge',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20140122,'Risk of Violence',1,'Low',20140122,20130617.0,20130625.0,1,0,800,0,'0'
79,20130318,'Male',19840924,31,'25 - 45','African-American',0,5,0,1,15,-1.0,20130317.0,20130731.0,20130317.0,20129338.55233069,1.0,'F','Attempt Armed Burglary Dwell',1,'(M2)',20.269430051813472,20160228.0,'Operating W/O Valid License',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',5,'Medium',20130318,'Risk of Violence',7,'Medium',20130318,20130317.0,20130731.0,15,135,1077,1,'0'
80,20130918,'Male',19911007,24,'Less than 25','African-American',0,4,0,0,2,-1.0,20130917.0,20130919.0,20130917.0,20129338.55233069,1.0,'F','Poss Tetrahydrocannabinols',1,'(M1)',1.0,20150416.0,'Possess Cannabis/20 Grams Or Less',20150417.0,20150417.0,nan,0,'(M1)','Risk of Recidivism',4,'Low',20130918,'Risk of Violence',4,'Low',20130918,20130917.0,20130919.0,2,1,575,1,'1'
83,20130120,'Male',19860111,30,'25 - 45','Hispanic',0,7,0,0,0,0.0,20130120.0,20130212.0,20130120.0,20129338.55233069,0.0,'M','Possess Cannabis/20 Grams Or Less',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',7,'Medium',20130120,'Risk of Violence',3,'Low',20130120,20130120.0,20130212.0,0,23,1167,0,'0'
84,20130827,'Male',19670123,49,'Greater than 45','African-American',0,1,0,0,4,-1.0,20130826.0,20130827.0,20130826.0,20129338.55233069,1.0,'M','Battery',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',1,'Low',20130827,'Risk of Violence',1,'Low',20130827,20130826.0,20130827.0,4,0,948,0,'0'
85,20130528,'Male',19621207,53,'Greater than 45','Caucasian',0,5,0,0,8,-13.0,20130515.0,20130528.0,20132323.86044592,20130515.0,13.0,'F','arrest case no charge',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',5,'Medium',20130528,'Risk of Violence',2,'Low',20130528,20130515.0,20130528.0,8,0,1039,0,'0'
87,20130211,'Male',19800604,35,'25 - 45','African-American',0,3,0,0,5,-1.0,20130210.0,20130211.0,20130210.0,20129338.55233069,1.0,'F','Driving While License Revoked',0,'(M1)',20.269430051813472,20142419.57562662,'Driving License Suspended',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',3,'Low',20130211,'Risk of Violence',2,'Low',20130211,20130210.0,20130211.0,5,0,1145,0,'0'
88,20130610,'Male',19530409,63,'Greater than 45','African-American',0,7,0,0,10,-38.0,20130503.0,20130608.0,20101217.0,20129338.55233069,906.0,'M','Possess Drug Paraphernalia',1,'(M2)',20.269430051813472,20130724.0,'Petit Theft',20142328.04015544,20143381.623488773,nan,0,'(M1)','Risk of Recidivism',7,'Medium',20130610,'Risk of Violence',5,'Medium',20130610,20130503.0,20130608.0,10,0,44,1,'1'
