,dataset,alg,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
10,2d10c_y,skl_DBSCAN,,,,100.0,20.0,0.0127210617065429,0.831,26997.672,1.0948,0.9987,0.9945,2.0585,0.9922,0.9923,0.9972,0.9874,0.9923,0.9953,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,10.0,euclidean,4.0,,,,,,,,,,,,,,,,,
11,2d10c_y,skl_OPTICS,,,,100.0,20.0,5.693636417388916,0.3512,938.9753,0.94,0.9193,0.6749,1.7534,0.8268,0.8284,0.8494,0.8085,0.8284,0.7229,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
12,2d10c_y,skl_agglomerativeClust,10.0,,,100.0,20.0,0.1271262168884277,0.7881,42412.9452,0.2954,0.9998,0.9992,2.0643,0.999,0.999,1.0,0.9979,0.999,0.9993,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,average,,,,,,,,,,,,,,,,
13,2d10c_y,skl_birch,10.0,,,100.0,20.0,0.039309024810791,0.7671,19332.3504,0.384,0.9614,0.8542,1.8241,0.9365,0.9368,0.8837,0.9967,0.9368,0.8832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
14,2d10c_y,skl_bis_kmeans,8.0,,,100.0,20.0,0.0506448745727539,0.7962,32281.6367,0.3811,0.9921,0.9671,1.9774,0.9693,0.9694,0.9579,0.9812,0.9694,0.9717,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2d10c_y,skl_kmeans,8.0,,,1000.0,20.0,0.0218024253845214,0.8059,33295.5981,0.3762,0.9965,0.9853,2.0047,0.9832,0.9833,0.9711,0.9958,0.9833,0.9874,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2d20cno0_y,CLTree,,,,,,9.20634627342224,-0.4165,72.255,1.5378,0.2833,0.0221,0.4326,0.2318,0.2471,0.1472,0.7686,0.2471,0.2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,10.0,,
17,2d20cno0_y,CenterParTree2,,,,1000.0,20.0,4.26399302482605,0.5153,2379.6346,0.7447,0.96,0.7024,2.3316,0.8626,0.8663,0.7935,0.9537,0.8663,0.7449,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,8.0,12.0,0.0,,,,,,,,,,,cos,jaccard,,,,,,,,,
18,2d20cno0_y,ExKMC,12.0,12.0,IMM,100.0,20.0,0.0092489719390869,0.5682,3089.3078,0.5551,0.9573,0.6907,2.3427,0.8711,0.8746,0.7973,0.9685,0.8746,0.7385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2d20cno0_y,ImpurityParTree2,,,,inf,20.0,15.666707754135132,0.2664,1428.432,1.0652,0.9583,0.6249,2.3234,0.7977,0.8063,0.7907,0.8226,0.8063,0.6489,,,,,,42.0,,,,,,,5.0,30.0,,,,,,,10.0,20.0,0.1,,,,,,,,me,mape,,,,,,,,,,,,
20,2d20cno0_y,PrincipalParTree,,,,inf,20.0,0.0983941555023193,0.509,2281.2074,0.7378,0.9799,0.8068,2.632,0.8922,0.897,0.8958,0.8982,0.897,0.8175,,,,,,42.0,,,,,,,50.0,3.0,,,,,,,8.0,20.0,0.1,,,,,,,,,,,,,,2.0,False,0.0,,,,,
21,2d20cno0_y,ShallowTree,12.0,,,inf,20.0,0.066382884979248,0.5617,3062.1657,0.6243,0.956,0.6856,2.3507,0.876,0.8794,0.8,0.9763,0.8794,0.7359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
22,2d20cno0_y,VarianceParTree,,,,100.0,20.0,0.5630300045013428,0.429,1885.4822,0.8582,0.9474,0.6278,2.2252,0.8313,0.836,0.7573,0.9328,0.836,0.6815,,,,,,,,,,,,,5.0,30.0,,,,,,,4.0,12.0,0.2,,,,,,,,,,,,,,,,,,,,,
23,2d20cno0_y,kmeans+dt,12.0,,,100.0,20.0,0.0494647026062011,0.3246,1167.8415,0.9168,0.9325,0.5707,2.0993,0.805,0.8105,0.7145,0.9364,0.8105,0.6453,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
24,2d20cno0_y,kmodes,12.0,,,inf,20.0,0.1931362152099609,-0.2042,1.2655,0.9809,0.0683,-0.0003,0.0219,-0.0004,0.0146,0.0074,0.3372,0.0146,0.231,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
25,2d20cno0_y,pyc_xmeans,,,,100.0,20.0,0.0196125507354736,0.6473,6141.9441,0.5334,0.9959,0.9588,2.905,0.9752,0.9764,0.9887,0.9645,0.9764,0.9613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,22.0,,,,,,,,,,,,,,
26,2d20cno0_y,skl_DBSCAN,,,,1000.0,20.0,0.0070464611053466,0.5959,2074.6363,1.9299,0.9974,0.9745,2.906,0.9751,0.9764,0.989,0.9642,0.9764,0.976,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,2.0,euclidean,4.0,,,,,,,,,,,,,,,,,
27,2d20cno0_y,skl_OPTICS,,,,1000.0,20.0,2.799270868301392,0.3151,234.1064,1.306,0.9318,0.5194,2.3572,0.8295,0.8375,0.8022,0.8761,0.8375,0.5772,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
28,2d20cno0_y,skl_agglomerativeClust,12.0,,,inf,20.0,0.027472972869873,0.589,3240.6196,0.5369,0.956,0.6892,2.3779,0.8884,0.8915,0.8093,0.9922,0.8915,0.7415,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,ward,,,,,,,,,,,,,,,,
29,2d20cno0_y,skl_birch,10.0,,,100.0,20.0,0.0222041606903076,0.5088,2677.9364,0.6763,0.935,0.5846,2.1349,0.8229,0.8269,0.7266,0.9594,0.8269,0.6582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
30,2d20cno0_y,skl_bis_kmeans,12.0,,,inf,20.0,0.1137876510620117,0.5328,2623.0684,0.6659,0.9613,0.7124,2.3676,0.8767,0.88,0.8058,0.9692,0.88,0.7547,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2d20cno0_y,skl_kmeans,12.0,,,1000.0,20.0,0.0492656230926513,0.5719,3248.5343,0.6128,0.9585,0.6989,2.3615,0.8782,0.8815,0.8037,0.9759,0.8815,0.7458,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2d3cno123_y,CLTree,,,,,,6.152244329452515,0.2159,67.7396,5.7332,0.5668,0.2207,0.2432,0.366,0.3688,0.2545,0.6692,0.3688,0.6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,10.0,,
33,2d3cno123_y,CenterParTree2,,,,100.0,20.0,0.3606448173522949,0.3479,718.5615,0.7423,0.7892,0.5334,0.8993,0.6828,0.685,0.9412,0.5384,0.685,0.7025,,,,,,42.0,,,,,,,5.0,30.0,,,,,,,4.0,8.0,0.0,,,,,,,,,,,cos,jaccard,,,,,,,,,
34,2d3cno123_y,ExKMC,2.0,12.0,IMM,inf,20.0,0.0099554061889648,0.5643,1201.1235,0.6501,0.8798,0.7623,0.6486,0.8037,0.8041,0.6788,0.986,0.8041,0.8803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2d3cno123_y,ImpurityParTree2,,,,inf,20.0,0.4327149391174316,0.5375,1042.4372,0.6761,0.8234,0.6519,0.5191,0.6469,0.6475,0.5433,0.801,0.6475,0.8233,,,,,,42.0,,,,,,,50.0,3.0,,,,,,,6.0,2.0,0.0,,,,,,,,entropy,mape,,,,,,,,,,,,
36,2d3cno123_y,PrincipalParTree,,,,1000.0,20.0,0.0100409984588623,0.4848,818.2026,0.7961,0.93,0.8569,0.7781,0.8248,0.8253,0.8144,0.8365,0.8253,0.9179,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,12.0,3.0,0.2,,,,,,,,,,,,,,1.0,False,0.0,,,,,
37,2d3cno123_y,ShallowTree,2.0,,,100.0,20.0,0.0184886455535888,0.5448,1068.4656,0.6528,0.8176,0.6417,0.5256,0.6591,0.6597,0.5501,0.8237,0.6597,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,
38,2d3cno123_y,VarianceParTree,,,,1000.0,20.0,0.9779436588287354,0.4826,901.1991,0.6777,0.8478,0.6771,0.7188,0.673,0.6743,0.7523,0.6109,0.6743,0.8013,,,,,,,,,,,,,5.0,3.0,,,,,,,6.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,
39,2d3cno123_y,kmeans+dt,2.0,,,1000.0,20.0,0.0551941394805908,0.5375,1042.4372,0.6761,0.8234,0.6519,0.5191,0.6469,0.6475,0.5433,0.801,0.6475,0.8233,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
40,2d3cno123_y,kmodes,12.0,,,1000.0,20.0,0.096365213394165,-0.1665,1.3848,0.8444,0.4245,0.0055,0.0155,0.0016,0.029,0.0163,0.1335,0.029,0.6377,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
41,2d3cno123_y,pyc_xmeans,,,,1000.0,20.0,0.0053498744964599,0.5643,1201.1235,0.6501,0.8798,0.7623,0.6486,0.8037,0.8041,0.6788,0.986,0.8041,0.8803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,,,,,,,,,,,,,,
42,2d3cno123_y,skl_DBSCAN,,,,1000.0,20.0,0.005059003829956,0.377,322.0362,1.3685,0.9396,0.8752,0.8048,0.7872,0.7884,0.8423,0.741,0.7884,0.9266,,,,,,,,auto,,,,,,,,,,,,,,,,0.25,10.0,euclidean,4.0,,,,,,,,,,,,,,,,,
43,2d3cno123_y,skl_OPTICS,,,,100.0,20.0,1.3005657196044922,0.3225,343.0038,0.9717,0.8791,0.7543,0.6511,0.7109,0.7118,0.6815,0.745,0.7118,0.8615,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
44,2d3cno123_y,skl_agglomerativeClust,4.0,,,1000.0,20.0,0.0061938762664794,0.4533,860.641,0.7892,0.944,0.8828,0.9155,0.8673,0.8678,0.9581,0.7931,0.8678,0.9303,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,average,,,,,,,,,,,,,,,,
45,2d3cno123_y,skl_birch,4.0,,,100.0,20.0,0.0108153820037841,0.4679,763.219,0.664,0.9691,0.9358,0.8969,0.8878,0.8883,0.9387,0.843,0.8883,0.9621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
46,2d3cno123_y,skl_bis_kmeans,2.0,,,inf,20.0,0.0663604736328125,0.5643,1201.1235,0.6501,0.8798,0.7623,0.6486,0.8037,0.8041,0.6788,0.986,0.8041,0.8803,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2d3cno123_y,skl_kmeans,2.0,,,1000.0,20.0,0.0562553405761718,0.5643,1201.1235,0.6501,0.8798,0.7623,0.6486,0.8037,0.8041,0.6788,0.986,0.8041,0.8803,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2d4c_y,CLTree,,,,,,9.26005482673645,0.0497,143.029,1.0843,0.535,0.2271,0.3551,0.4409,0.4417,0.2875,0.9527,0.4417,0.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,20.0,,
49,2d4c_y,CenterParTree2,,,,100.0,20.0,0.155444860458374,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,10.0,0.0,,,,,,,,,,,cos,jaccard,,,,,,,,,
50,2d4c_y,ExKMC,4.0,4.0,IMM,inf,20.0,0.0053505897521972,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2d4c_y,ImpurityParTree2,,,,1000.0,20.0,2.6008334159851074,0.7087,31801.2188,0.5529,0.9327,0.8367,1.235,0.8954,0.8958,1.0,0.8113,0.8958,0.8891,,,,,,42.0,,,,,,,5.0,30.0,,,,,,,3.0,6.0,0.1,,,,,,,,entropy,mape,,,,,,,,,,,,
52,2d4c_y,PrincipalParTree,,,,inf,20.0,0.0155010223388671,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,42.0,,,,,,,50.0,3.0,,,,,,,10.0,4.0,0.2,,,,,,,,,,,,,,1.0,False,0.0,,,,,
53,2d4c_y,ShallowTree,4.0,,,inf,20.0,0.0160944461822509,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,
54,2d4c_y,VarianceParTree,,,,100.0,20.0,0.3496177196502685,0.4631,26593.039,0.6956,0.8086,0.4812,1.2021,0.7319,0.7333,0.9734,0.5882,0.7333,0.6356,,,,,,,,,,,,,50.0,3.0,,,,,,,8.0,8.0,0.1,,,,,,,,,,,,,,,,,,,,,
55,2d4c_y,kmeans+dt,4.0,,,100.0,20.0,0.0120165348052978,0.7174,2057.2944,0.7682,0.973,0.9394,1.0743,0.9303,0.9304,0.8699,1.0,0.9304,0.9605,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,True,gini,best,3.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
56,2d4c_y,kmodes,12.0,,,inf,20.0,0.1628201007843017,-0.8056,1.6193,3.1506,0.3308,-0.0041,0.0186,0.0079,0.0273,0.0151,0.1436,0.0273,0.5543,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
57,2d4c_y,pyc_xmeans,,,,1000.0,20.0,0.0080869197845458,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,
58,2d4c_y,skl_DBSCAN,,,,1000.0,20.0,0.0097076892852783,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,auto,,,,,,,,,,,,,,,,0.25,10.0,euclidean,4.0,,,,,,,,,,,,,,,,,
59,2d4c_y,skl_OPTICS,,,,1000.0,20.0,2.3232898712158203,0.2505,595.506,1.162,0.8474,0.6293,1.0398,0.7074,0.7096,0.842,0.6133,0.7096,0.7394,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
60,2d4c_y,skl_agglomerativeClust,4.0,,,100.0,20.0,0.0084481239318847,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,cosine,,single,,,,,,,,,,,,,,,,
61,2d4c_y,skl_birch,6.0,,,100.0,20.0,0.0184125900268554,0.8679,10485.8379,0.1888,0.9207,0.8293,0.9815,0.8854,0.8856,0.7947,1.0,0.8856,0.8955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
62,2d4c_y,skl_bis_kmeans,4.0,,,inf,20.0,0.0467433929443359,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2d4c_y,skl_kmeans,4.0,,,1000.0,20.0,0.0107755661010742,0.8704,36359.6418,0.1639,1.0,1.0,1.235,1.0,1.0,1.0,1.0,1.0,1.0,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2d4cno9_y,CLTree,,,,,,4.856452465057373,-0.4986,6.9388,14.1372,0.4139,-0.0117,0.2201,0.1789,0.1975,0.1668,0.242,0.1975,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,5.0,,
65,2d4cno9_y,CenterParTree2,,,,100.0,20.0,0.3908882141113281,0.5165,1374.6859,0.6389,0.9292,0.8109,1.27,0.831,0.8324,0.9626,0.7332,0.8324,0.8641,,,,,,42.0,,,,,,,50.0,3.0,,,,,,,8.0,8.0,0.0,,,,,,,,,,,cos,jaccard,,,,,,,,,
66,2d4cno9_y,ExKMC,4.0,4.0,IMM,100.0,20.0,0.0051977634429931,0.6071,1911.401,0.5963,0.9564,0.8902,1.1949,0.8941,0.8945,0.9057,0.8836,0.8945,0.9204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2d4cno9_y,ImpurityParTree2,,,,100.0,20.0,0.2164113521575927,0.2487,718.9295,0.8304,0.7546,0.4956,0.7052,0.6402,0.642,0.5345,0.8036,0.642,0.695,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,4.0,0.1,,,,,,,,gini,mape,,,,,,,,,,,,
68,2d4cno9_y,PrincipalParTree,,,,inf,20.0,0.0417490005493164,0.3641,830.6059,1.1382,0.9819,0.9544,1.2887,0.9431,0.9435,0.9768,0.9124,0.9435,0.9671,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,10.0,6.0,0.0,,,,,,,,,,,,,,2.0,False,5.0,,,,,
69,2d4cno9_y,ShallowTree,4.0,,,inf,20.0,0.0197267532348632,0.6057,1924.3759,0.5994,0.955,0.8866,1.1896,0.8897,0.8901,0.9016,0.8789,0.8901,0.9178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
70,2d4cno9_y,VarianceParTree,,,,1000.0,20.0,2.6966681480407715,0.4318,1554.2122,0.789,0.8493,0.5636,1.1845,0.7206,0.7227,0.8978,0.6047,0.7227,0.6805,,,,,,,,,,,,,5.0,3.0,,,,,,,4.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,
71,2d4cno9_y,kmeans+dt,4.0,,,inf,20.0,0.0197055339813232,0.3891,784.6604,1.1506,0.9319,0.8414,1.0784,0.8872,0.8878,0.8174,0.9714,0.8878,0.8943,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,True,gini,best,3.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
72,2d4cno9_y,kmodes,12.0,,,100.0,20.0,0.1167685985565185,-0.3781,0.6132,2.0786,0.2922,0.0024,0.0176,0.0015,0.0249,0.0134,0.1809,0.0249,0.5236,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
73,2d4cno9_y,pyc_xmeans,,,,1000.0,20.0,0.0056030750274658,0.6124,2003.4732,0.5818,0.9468,0.8658,1.1473,0.8578,0.8584,0.8696,0.8475,0.8584,0.9027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,
74,2d4cno9_y,skl_DBSCAN,,,,100.0,20.0,0.0054268836975097,0.4981,765.5709,2.2581,0.9318,0.8409,1.0738,0.8802,0.8807,0.8139,0.9596,0.8807,0.8937,,,,,,,,auto,,,,,,,,,,,,,,,,0.25,5.0,euclidean,4.0,,,,,,,,,,,,,,,,,
75,2d4cno9_y,skl_OPTICS,,,,inf,20.0,1.6007778644561768,-0.0033,387.0968,1.3546,0.7823,0.5342,0.7698,0.6516,0.6537,0.5834,0.7432,0.6537,0.7069,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
76,2d4cno9_y,skl_agglomerativeClust,6.0,,,inf,20.0,0.0086317062377929,0.4964,1246.1954,0.5271,0.9589,0.8962,1.2125,0.8946,0.8953,0.919,0.8728,0.8953,0.9247,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,average,,,,,,,,,,,,,,,,
77,2d4cno9_y,skl_birch,4.0,,,100.0,20.0,0.0129728317260742,0.6071,1897.1233,0.5541,0.9685,0.9208,1.2191,0.9141,0.9145,0.924,0.9051,0.9145,0.9426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
78,2d4cno9_y,skl_bis_kmeans,4.0,,,inf,20.0,0.0746371746063232,0.6054,1819.3234,0.5607,0.9441,0.8597,1.1203,0.8392,0.8399,0.8491,0.8308,0.8399,0.8983,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2d4cno9_y,skl_kmeans,4.0,,,1000.0,20.0,0.0451593399047851,0.6128,2003.6386,0.5795,0.9474,0.8674,1.1484,0.8587,0.8593,0.8704,0.8484,0.8593,0.9038,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2dd31_y,CLTree,,,,,,53.927279472351074,-0.2388,46.9817,2.3156,0.1413,0.0052,0.1906,0.098,0.1032,0.0555,0.7334,0.1032,0.1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,10.0,,
81,2dd31_y,CenterParTree2,,,,inf,20.0,13.939422130584717,0.3323,2685.333,0.9096,0.9278,0.4085,2.1831,0.7441,0.7489,0.6357,0.9111,0.7489,0.5051,,,,,,42.0,,,,,,,5.0,30.0,,,,,,,8.0,12.0,0.2,,,,,,,,,,,cos,jaccard,,,,,,,,,
82,2dd31_y,ExKMC,12.0,12.0,IMM,inf,20.0,0.0140786170959472,0.4447,3696.6357,0.7075,0.9301,0.4274,2.25,0.7667,0.7711,0.6552,0.9368,0.7711,0.5258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
