,index,n_clusters,max_leaves,base_tree,max_nbr_values,max_nbr_values_cat,time,silhouette,calinski_harabasz,davies_bouldin,r_score,adj_rand,mut_info_score,adj_mutual_info_score,norm_mutual_info_score,homog_score,complete_score,v_msr_score,fwlks_mallows_score,alg,dataset,init,n_init,max_iter,tol,verbose,random_state,copy,algorithm,bisecting_strategy,labels_as_tree_leaves,criterion,splitter,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,class_weight,ccp_alpha,max_depth,max_nbr_clusters,bic_eps,eps,min_samples,metric,n_jobs,linkage,amount_initial_centers,kmax,criteria_clf,criteria_reg,depth_factor,metric_con,metric_cat,max_eps,n_components,oblique_splits,max_oblique_features,min_nr_instances,min_y,min_rd,threshold,branching_factor
10,86,2.0,,,100.0,100.0,0.6698307991027832,0.3262,245.6743,1.3496,0.8482,0.6939,0.379,0.5878,0.5884,0.574,0.6035,0.5884,0.8616,ShallowTree,wdbc_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
11,471,,,,inf,20.0,0.0101900100708007,0.3283,246.1985,1.3561,0.8194,0.6361,0.3354,0.518,0.5186,0.508,0.5297,0.5186,0.8345,PrincipalParTree,wdbc_y,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.0,,,,,,,,,,,,,,1.0,False,5.0,,,,,
12,68,2.0,2.0,NONE,100.0,100.0,0.0226681232452392,0.3262,245.6743,1.3496,0.8482,0.6939,0.379,0.5878,0.5884,0.574,0.6035,0.5884,0.8616,ExKMC,wdbc_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,15,2.0,,,1000.0,20.0,0.0059161186218261,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,skl_kmeans,iris_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,38,2.0,,,100.0,20.0,0.0060033798217773,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,skl_bis_kmeans,iris_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,2.0,,,inf,20.0,0.002925157546997,0.577,240.2457,0.5917,0.763,0.5438,0.5991,0.69,0.6925,0.5453,0.9483,0.6925,0.758,skl_birch,iris_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
16,199,2.0,,,100.0,20.0,0.0007028579711914,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,skl_agglomerativeClust,iris_y,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,single,,,,,,,,,,,,,,,,
17,36,,,,1000.0,20.0,0.2637777328491211,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,skl_OPTICS,iris_y,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
18,293,,,,inf,20.0,0.003225564956665,0.5046,131.5359,0.4929,0.7719,0.5584,0.6365,0.7156,0.7201,0.5794,0.9512,0.7201,0.7642,skl_DBSCAN,iris_y,,,,,,,,auto,,,,,,,,,,,,,,,,1.0,2.0,euclidean,4.0,,,,,,,,,,,,,,,,,
19,113,,,,1000.0,20.0,0.0016326904296875,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,pyc_xmeans,iris_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
20,27,12.0,,,inf,20.0,0.0544195175170898,-0.3706,6.357,4.2422,0.6674,0.1085,0.3649,0.1791,0.2209,0.3321,0.1655,0.2209,0.3043,kmodes,iris_y,Cao,11.0,100.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
21,71,2.0,,,inf,20.0,0.0068256855010986,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,kmeans+dt,iris_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,50.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
22,289,,,,1000.0,100.0,0.2688677310943603,-0.0363,48.64,4.1817,0.7161,0.3519,0.6967,0.5144,0.5344,0.6342,0.4618,0.5344,0.5619,VarianceParTree,iris_y,,,,,,,,,,,,,5.0,3.0,,,,,,,8.0,8.0,0.1,,,,,,,,,,,,,,,,,,,,,
23,117,4.0,,,100.0,20.0,0.2101635932922363,0.3289,167.4559,0.9734,0.8814,0.72,0.9141,0.7518,0.756,0.832,0.6928,0.756,0.8072,ShallowTree,iris_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
24,62,2.0,2.0,IMM,100.0,100.0,0.0022637844085693,0.5818,251.3493,0.5933,0.7763,0.5681,0.6365,0.7316,0.7337,0.5794,1.0,0.7337,0.7715,ExKMC,iris_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7,4.0,,,100.0,20.0,0.0692758560180664,0.2026,207.4929,1.5985,0.4831,0.023,0.0223,0.0222,0.0238,0.0365,0.0177,0.0238,0.4432,skl_kmeans,german_creditONEHOT_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9,2.0,,,1000.0,20.0,0.0577263832092285,0.2313,193.0438,1.8761,0.5608,0.0745,0.0128,0.0216,0.0225,0.0209,0.0244,0.0225,0.647,skl_bis_kmeans,german_creditONEHOT_y,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,15,8.0,,,1000.0,20.0,0.0386750698089599,0.1725,134.7597,1.7662,0.4588,0.0118,0.022,0.0154,0.0183,0.0361,0.0123,0.0183,0.3503,skl_birch,german_creditONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
28,38,12.0,,,inf,20.0,0.0079560279846191,-0.325,2.5296,0.9868,0.582,0.0183,0.0112,0.0125,0.0306,0.0184,0.0913,0.0306,0.7536,skl_agglomerativeClust,german_creditONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,correlation,,single,,,,,,,,,,,,,,,,
29,25,,,,100.0,20.0,1.8225939273834229,0.0958,5.8271,1.2636,0.4305,-0.0066,0.1814,0.0104,0.0716,0.297,0.0407,0.0716,0.2159,skl_OPTICS,german_creditONEHOT_y,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
30,43,,,,100.0,20.0,0.0096721649169921,-0.3412,2.1632,1.2341,0.5141,-0.0051,0.062,0.009,0.059,0.1015,0.0416,0.059,0.5896,skl_DBSCAN,german_creditONEHOT_y,,,,,,,,auto,,,,,,,,,,,,,,,,0.25,2.0,euclidean,4.0,,,,,,,,,,,,,,,,,
31,88,,,,100.0,20.0,0.0118534564971923,0.194,177.3793,1.65,0.4619,0.015,0.0287,0.0231,0.0253,0.047,0.0173,0.0253,0.3597,pyc_xmeans,german_creditONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
32,16,12.0,,,100.0,20.0,0.3244194984436035,-0.0435,24.2471,3.8182,0.4391,-0.0068,0.0097,0.0029,0.0068,0.0158,0.0044,0.0068,0.2795,kmodes,german_creditONEHOT_y,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
33,5,2.0,,,inf,20.0,0.0302646160125732,0.2056,173.3804,2.0226,0.5533,0.0647,0.0106,0.0175,0.0183,0.0173,0.0194,0.0183,0.6349,kmeans+dt,german_creditONEHOT_y,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
34,23,,,,100.0,20.0,0.5492472648620605,0.0981,83.0364,2.1287,0.4534,0.0074,0.0236,0.0164,0.0192,0.0387,0.0128,0.0192,0.3307,VarianceParTree,german_creditONEHOT_y,,,,,,,,,,,,,5.0,3.0,,,,,,,3.0,10.0,0.1,,,,,,,,,,,,,,,,,,,,,
35,8,2.0,,,inf,20.0,0.5060029029846191,0.6664,7970.1923,0.256,,,,,,,,,,skl_kmeans,ficoONEHOT,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,5,2.0,,,inf,20.0,0.4817652702331543,0.6664,7970.1923,0.256,,,,,,,,,,skl_bis_kmeans,ficoONEHOT,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,largest_cluster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,12,6.0,,,1000.0,20.0,3.79534649848938,0.02,587.3739,2.4966,,,,,,,,,,skl_birch,ficoONEHOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
38,38,12.0,,,inf,20.0,1.1408298015594482,-0.3642,0.3035,1.9566,,,,,,,,,,skl_agglomerativeClust,ficoONEHOT,,,,,,,,,,,,,,,,,,,,,,,,,,correlation,,single,,,,,,,,,,,,,,,,
39,20,,,,inf,20.0,43.322232246398926,-0.1819,11.1943,1.3392,,,,,,,,,,skl_OPTICS,ficoONEHOT,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,correlation,4.0,,,,,,,,,inf,,,,,,,,
40,44,,,,inf,20.0,0.0877606868743896,0.0999,3986.7285,0.6903,,,,,,,,,,skl_DBSCAN,ficoONEHOT,,,,,,,,auto,,,,,,,,,,,,,,,,0.25,2.0,euclidean,4.0,,,,,,,,,,,,,,,,,
41,48,,,,1000.0,20.0,0.1089847087860107,0.6664,7970.1923,0.256,,,,,,,,,,pyc_xmeans,ficoONEHOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,
42,21,2.0,,,1000.0,20.0,2.3411521911621094,-0.0298,247.4692,5.051,,,,,,,,,,kmodes,ficoONEHOT,Cao,11.0,300.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
43,15,2.0,,,1000.0,20.0,0.2762515544891357,0.6664,7970.1923,0.256,,,,,,,,,,kmeans+dt,ficoONEHOT,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
44,2,8.0,,,100.0,100.0,0.6901073455810547,0.5648,14643.7253,0.6845,0.547,0.0999,0.2318,0.1744,0.1747,0.3367,0.1179,0.1747,0.3696,skl_kmeans,compasscorestwoyears_y,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,33,4.0,,,inf,100.0,2.252773761749268,0.4672,9335.2109,0.9815,0.5952,0.1935,0.2305,0.2341,0.2342,0.3349,0.1801,0.2342,0.5158,skl_bis_kmeans,compasscorestwoyears_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,23,4.0,,,100.0,100.0,1.5923824310302734,0.4432,8691.8426,1.0028,0.6078,0.2185,0.2528,0.257,0.2572,0.3673,0.1978,0.2572,0.5336,skl_birch,compasscorestwoyears_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
47,275,4.0,,,100.0,100.0,1.798607349395752,0.4432,8691.8426,1.0028,0.6078,0.2185,0.2528,0.257,0.2572,0.3673,0.1978,0.2572,0.5336,skl_agglomerativeClust,compasscorestwoyears_y,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,ward,,,,,,,,,,,,,,,,
48,37,,,,100.0,100.0,198.0067751407624,-0.3163,96.1373,1.6167,0.515,0.0323,0.2046,0.1471,0.1493,0.2973,0.0996,0.1493,0.4537,skl_OPTICS,compasscorestwoyears_y,,,,,,,,auto,,,,,,,,,,,,,,,,,20.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
49,289,,,,100.0,100.0,0.0584533214569091,-0.6574,3.8945,1.2918,0.4957,-0.0156,0.0488,0.0532,0.0742,0.0709,0.0778,0.0742,0.6499,skl_DBSCAN,compasscorestwoyears_y,,,,,,,,auto,,,,,,,,,,,,,,,,1.0,2.0,euclidean,4.0,,,,,,,,,,,,,,,,,
50,155,,,,1000.0,20.0,0.1004500389099121,0.4672,9335.2109,0.9815,0.5952,0.1935,0.2305,0.2341,0.2342,0.3349,0.1801,0.2342,0.5158,pyc_xmeans,compasscorestwoyears_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,
51,75,4.0,,,inf,100.0,13.825592517852783,0.0586,169.4598,21.3113,0.7183,0.4379,0.3242,0.353,0.3532,0.4711,0.2825,0.3532,0.6905,kmodes,compasscorestwoyears_y,Cao,11.0,300.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
52,42,6.0,,,100.0,100.0,0.7180192470550537,0.4302,6806.5274,1.0466,0.5441,0.0931,0.179,0.1516,0.1519,0.2601,0.1073,0.1519,0.4038,kmeans+dt,compasscorestwoyears_y,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
53,0,,,,,,2837.967403411865,0.0041,3.4979,31.0154,0.5409,0.0803,0.0371,0.0571,0.0573,0.0538,0.0613,0.0573,0.5811,CLTree,compasscorestwoyears_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,10.0,,
54,6,8.0,,,1000.0,20.0,0.930272340774536,0.127,674.6922,2.0217,0.6157,0.2363,0.423,0.3297,0.33,0.6146,0.2255,0.33,0.4947,skl_kmeans,compasscorestwoyearsONEHOT_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,13,6.0,,,100.0,20.0,3.795978546142578,0.1908,732.1751,2.1441,0.6604,0.3238,0.3217,0.2985,0.2987,0.4674,0.2195,0.2987,0.5914,skl_bis_kmeans,compasscorestwoyearsONEHOT_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,12,6.0,,,1000.0,20.0,1.245171308517456,0.1896,643.7552,2.0525,0.6423,0.2876,0.2901,0.2804,0.2806,0.4215,0.2103,0.2806,0.5697,skl_birch,compasscorestwoyearsONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
57,147,6.0,,,1000.0,20.0,1.662163019180298,0.1497,641.6419,2.1755,0.6777,0.3584,0.4274,0.3878,0.388,0.621,0.2822,0.388,0.6099,skl_agglomerativeClust,compasscorestwoyearsONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,ward,,,,,,,,,,,,,,,,
58,18,,,,1000.0,20.0,28.07873558998108,-0.1343,4.4107,1.3132,0.4954,-0.0028,0.3838,0.0897,0.1366,0.5576,0.0779,0.1366,0.2944,skl_OPTICS,compasscorestwoyearsONEHOT_y,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,correlation,4.0,,,,,,,,,inf,,,,,,,,
59,4,,,,100.0,20.0,0.467494249343872,-0.0171,227.4816,1.7483,0.6465,0.2966,0.448,0.3657,0.3663,0.6508,0.2549,0.3663,0.5628,skl_DBSCAN,compasscorestwoyearsONEHOT_y,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,10.0,cosine,4.0,,,,,,,,,,,,,,,,,
60,52,,,,100.0,20.0,0.1433479785919189,0.1633,722.0326,2.3593,0.6541,0.312,0.4065,0.3441,0.3443,0.5906,0.2429,0.3443,0.5668,pyc_xmeans,compasscorestwoyearsONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,
61,24,2.0,,,1000.0,20.0,3.31307315826416,0.1396,627.4681,3.0199,0.7584,0.5164,0.2899,0.4295,0.4295,0.4212,0.4382,0.4295,0.767,kmodes,compasscorestwoyearsONEHOT_y,Cao,11.0,500.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
62,24,8.0,,,1000.0,20.0,0.8733952045440674,0.0935,528.047,2.374,0.6518,0.3078,0.5957,0.4714,0.4716,0.8655,0.3241,0.4716,0.5581,kmeans+dt,compasscorestwoyearsONEHOT_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,True,gini,best,30.0,50.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
63,984,,,,1000.0,20.0,0.4303469657897949,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,PrincipalParTree,compasscorestwoyearsONEHOT_y,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.2,,,,,,,,,,,,,,1.0,False,0.0,,,,,
64,86,,,,1000.0,20.0,383.71218967437744,0.1072,429.4136,3.2552,0.7423,0.4867,0.5836,0.5359,0.5361,0.8479,0.3919,0.5361,0.7006,ImpurityParTree2,compasscorestwoyearsONEHOT_y,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,3.0,10.0,0.1,,,,,,,,me,mape,,,,,,,,,,,,
65,10,,,,100.0,20.0,25.90838122367859,0.1538,886.9172,2.5311,0.9409,0.8817,0.5746,0.8324,0.8324,0.8349,0.8299,0.8324,0.9412,CenterParTree2,compasscorestwoyearsONEHOT_y,,,,,,42.0,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.1,,,,,,,,,,,cos,jaccard,,,,,,,,,
66,6,12.0,,,1000.0,20.0,0.8403182029724121,0.0692,146.72,2.2137,0.2965,0.0075,0.0495,0.0333,0.0344,0.1197,0.0201,0.0344,0.2645,skl_kmeans,churnONEHOT_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,8,12.0,,,inf,20.0,6.130656719207764,0.0359,121.5979,2.8873,0.2991,0.0069,0.0273,0.018,0.0192,0.066,0.0112,0.0192,0.2721,skl_bis_kmeans,churnONEHOT_y,k-means++,11.0,300.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4,12.0,,,100.0,20.0,0.4589765071868896,0.0147,95.2248,2.6814,0.309,0.0092,0.0305,0.021,0.0222,0.0738,0.0131,0.0222,0.2969,skl_birch,churnONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
69,23,10.0,,,inf,20.0,0.2364833354949951,0.0,62.25,3.5941,0.3538,0.0209,0.0259,0.0213,0.0225,0.0625,0.0137,0.0225,0.3892,skl_agglomerativeClust,churnONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,complete,,,,,,,,,,,,,,,,
70,20,,,,inf,20.0,9.472440481185911,-0.1559,3.5624,1.4569,0.346,0.0141,0.1564,0.0189,0.0639,0.378,0.0349,0.0639,0.3766,skl_OPTICS,churnONEHOT_y,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,correlation,4.0,,,,,,,,,inf,,,,,,,,
71,9,,,,1000.0,20.0,0.1222891807556152,-0.3074,2.673,1.41,0.5239,0.0177,0.0767,0.0197,0.0599,0.1854,0.0357,0.0599,0.6384,skl_DBSCAN,churnONEHOT_y,,,,,,,,auto,,,,,,,,,,,,,,,,0.1,2.0,correlation,4.0,,,,,,,,,,,,,,,,,
72,87,,,,1000.0,20.0,0.0397596359252929,0.0699,200.8855,2.3843,0.3493,0.0206,0.0544,0.0493,0.0499,0.1315,0.0308,0.0499,0.3807,pyc_xmeans,churnONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
73,40,6.0,,,100.0,20.0,1.8722381591796875,-0.0286,5.9961,18.8138,0.3596,-0.0019,0.0032,0.0024,0.0032,0.0078,0.002,0.0032,0.4088,kmodes,churnONEHOT_y,Cao,11.0,300.0,,False,42.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
74,35,10.0,,,inf,20.0,0.9763665199279784,0.04,124.4326,2.7367,0.364,0.021,0.0246,0.0217,0.0227,0.0594,0.014,0.0227,0.4083,kmeans+dt,churnONEHOT_y,k-means++,11.0,500.0,0.0001,False,42.0,True,lloyd,,True,gini,best,3.0,5.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
75,1,,,,1000.0,20.0,5.745169401168823,0.0778,282.7001,3.2716,0.5052,-0.0103,0.0017,0.0029,0.0032,0.0042,0.0026,0.0032,0.6215,VarianceParTree,churnONEHOT_y,,,,,,,,,,,,,5.0,3.0,,,,,,,2.0,2.0,0.1,,,,,,,,,,,,,,,,,,,,,
76,0,4.0,,,1000.0,20.0,1.0122578144073486,0.2019,8180.6909,1.2032,0.5283,0.079,0.0688,0.0966,0.0967,0.1247,0.0789,0.0967,0.5746,skl_kmeans,adultONEHOT_y,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1,4.0,,,100.0,20.0,2.8727729320526123,0.2026,8182.8405,1.202,0.5292,0.0811,0.0677,0.095,0.095,0.1227,0.0776,0.095,0.5753,skl_bis_kmeans,adultONEHOT_y,k-means++,11.0,100.0,0.0001,False,42.0,True,lloyd,biggest_inertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,11,4.0,,,inf,20.0,1.649064064025879,0.1431,6624.941,1.282,0.6164,0.1843,0.0443,0.0709,0.071,0.0803,0.0636,0.071,0.692,skl_birch,adultONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50.0
79,119,4.0,,,inf,20.0,43.449049949646,0.1667,7148.4614,1.1754,0.6223,0.2133,0.0595,0.092,0.0921,0.1078,0.0804,0.0921,0.6882,skl_agglomerativeClust,adultONEHOT_y,,,,,,,,,,,,,,,,,,,,,,,,,,euclidean,,ward,,,,,,,,,,,,,,,,
80,24,,,,1000.0,20.0,110.11076068878174,0.1858,5.3476,1.5804,0.3777,-0.0051,0.2494,0.0211,0.0623,0.4519,0.0335,0.0623,0.1814,skl_OPTICS,adultONEHOT_y,,,,,,,,auto,,,,,,,,,,,,,,,,,2.0,euclidean,4.0,,,,,,,,,inf,,,,,,,,
81,70,,,,100.0,20.0,2.2295572757720947,-0.4533,31.9455,1.2691,0.6318,0.1181,0.0322,0.0455,0.0557,0.0583,0.0533,0.0557,0.75,skl_DBSCAN,adultONEHOT_y,,,,,,,,auto,,,,,,,,,,,,,,,,0.5,2.0,euclidean,4.0,,,,,,,,,,,,,,,,,
